	Bacteroides	Faecalibacterium	Prevotella	Ruminococcus	Eubacterium	Clostridium	Bifidobacterium	Lactobacillus	Enterobacteriaceae	Akkermansia
Sample_001	0.04510411147354416	0.21056228701026028	0.13996690110656707	0.16008185489599386	0.0013714145168732823	0.028524793753564915	0.011571453134565951	0.21769898859619663	0.11013623289110039	0.0749819626213336
Sample_002	0.00013906985642558867	0.004975866713888199	2.0198170618884643e-11	0.046481756880546	0.16449224646670688	0.211269124821015	0.42782000583321905	0.022079400236464018	0.08017881197647736	0.042563717195059865
Sample_003	0.1375341654009204	0.06230175350455171	0.08712770384379807	0.12125495001589298	0.03542001619648754	0.21761452632166217	0.02609825045547321	0.06241589484335581	0.03949061728816618	0.21074212212969196
Sample_004	0.36791465603061274	0.0458737668040122	0.003020846631840743	0.06294371309456707	0.08290035177364367	0.06635350115534733	0.1358054181060096	0.054477951121180264	0.0420913044030264	0.13861849087976014
Sample_005	0.0034833646283690908	0.14674430250760157	0.041773624665414795	0.004453231783862566	0.05339466245990201	0.01230421668787808	0.08964332722641705	0.04172699653722721	0.5077882856365971	0.09868798786673057
Sample_006	0.16261775897847108	0.039531957029178	0.18696568314222647	0.21826589059403792	0.08199879261552735	0.09502697160011761	0.06278321018910073	2.6363416436136674e-06	0.1272183696004439	0.02558872990925329
Sample_007	0.13800573752431522	0.011071250670783997	0.08308603002650233	0.33228588463675546	0.0035050107817240187	0.2964015526111446	0.032361798855715725	0.0003989203096436207	5.846744796771855e-06	0.1028779678386179
Sample_008	0.04104833341102665	0.07992422075982203	0.05969403738258813	2.337438562435671e-14	0.042071306630842506	0.029088470962089826	5.6389207556739846e-05	0.11193663108975133	0.4586974155834153	0.17748319497288412
Sample_009	0.3150632245230895	0.015191993288318611	0.056249615400633224	0.26442680220733983	0.031259316773468014	0.057995415125245905	0.0037846201604113997	2.1163709579948014e-06	0.19316352828285385	0.06286336786768153
Sample_010	0.021083421670248747	0.23303516319165402	0.021700408206729794	0.06349210110733473	0.04207176909159644	0.09790132359476719	0.24810281043657192	0.06529777900763661	0.2073115958262552	3.627867205267646e-06
Sample_011	0.2886111079692163	0.4220750764179003	0.028646463786333568	0.022936667948314008	0.0642833258711183	0.006243812449500315	0.0022333302630401786	0.1334535838055874	0.007817331797271204	0.02369929969171828
Sample_012	0.06600670107323256	0.5624256931472081	0.05685927128670537	0.06939019020686411	0.07030780589544734	0.040200090968376075	0.03751273172957423	0.0003990065351974507	0.0019797186607991104	0.0949187904965956
Sample_013	0.04059105465546662	5.990233207338934e-07	0.2838301783986714	0.15319671712426758	0.015580486689685716	0.022188027184763336	0.0019637055885569285	0.006676469446044833	0.43531010198380893	0.040662659905413734
Sample_014	0.12786722378885618	0.12197065178861857	0.11914106681038433	0.00017382792181877652	0.2696445134528311	0.1101672974539923	7.744595095232089e-05	0.06951593504136087	0.08618193103525096	0.09526010675593453
Sample_015	0.0006015701255600662	0.038746967260081776	0.23605839725816025	0.14182518482300285	0.022294188671648372	0.12974193009714605	0.004643444213557648	0.002378771060052121	0.028894366273780652	0.39481518021701023
Sample_016	0.0008226967285993183	0.1475604926523235	0.015803594824852937	0.009276114850963661	0.11361946955683257	0.015329185543870048	0.09024342366979504	0.08708731244010143	0.040532798215618594	0.4797249115170428
Sample_017	0.2383860516306565	1.2310989954898152e-13	0.13400422576124882	0.04714128075179725	0.002277890475935938	0.06714141741582298	0.0023166662269099208	0.0023252550940504424	0.2666563820878409	0.23975083055561414
Sample_018	0.006625914681346135	0.21987025144111594	0.08368801899721859	0.17407961439637154	0.010388868401400625	0.07445403144067615	0.123136622240131	0.06033327322811012	0.23685764589395736	0.010565759279672527
Sample_019	0.2266420234274921	0.001138545489269596	0.10500873592545326	0.11278914934518662	0.09247944088974915	5.661594404540114e-05	0.1817072878805218	0.19867251364760413	6.170537629374115e-05	0.08144398207438439
Sample_020	0.01927130536667687	0.15512388249690076	0.003691506870001574	0.35629542786227963	0.008238344101046359	0.1059156284508234	0.000728803493574457	0.18208030160165314	0.09499640220454666	0.07365839755249699
Sample_021	0.2816652992701626	0.04770853171137978	0.05048731784644771	0.06033912568122612	0.29557219507404603	0.022858960960960763	0.0033215064447289474	0.018518940632394072	0.07562410293985285	0.14390401943880113
Sample_022	0.26687973069476567	0.023878193034882544	0.28392786712017637	0.18691639220706796	0.012485697480233818	0.00041683355578307557	0.009522358971505317	0.0675889558311089	0.10025967041363416	0.04812430069084214
Sample_023	0.005909626495002738	0.16367690435423493	0.07553445468685108	0.061682297009586794	0.19850257866557358	0.03506088795958642	0.16290235046743298	2.8830980409447847e-05	0.07678988628277976	0.2199121830985423
Sample_024	0.16136596120442517	0.14905513388692626	0.12338097978467498	0.1017439028225824	0.07402544188347517	0.04066018201665081	0.0039886118456108535	0.07517761033551798	0.17924812389568748	0.09135405232444883
Sample_025	0.06275977254813361	0.12733582309171293	0.03309918912578085	0.2770433543245189	0.03483666036384766	0.13668924217476155	0.012170755220141605	0.00018129422939117972	0.07729189608902101	0.23859201283269077
Sample_026	0.07560400868518953	0.3035006146847669	0.004739311740957424	0.007390228261844723	0.11327606408801129	0.01628435760439116	0.05393428107206514	0.0144263644507994	0.07602705279817366	0.33481771661380083
Sample_027	0.00044556202427866544	0.0937368237930216	0.15490460500243242	0.018160478383732602	0.23304822088173535	0.22303010296675718	0.10886854734611023	0.0012060315018325347	0.16406279438040114	0.002536833719698074
