	Bacteroides	Faecalibacterium	Prevotella	Ruminococcus	Eubacterium	Clostridium	Bifidobacterium	Lactobacillus	Enterobacteriaceae	Akkermansia
Sample_001	0.07126441850854487	0.08641014162783858	0.14865506400363	0.05657394714372786	0.2006270562144882	0.15282814458096086	0.03263665548671232	0.10818927826130394	0.09821900935527941	0.04459628481751394
Sample_002	0.01797500969052188	0.07070630022018304	0.023004078033833315	0.19815760889173345	0.06162497870218813	0.06477644461756091	0.04734092158424469	0.04929309681453888	0.2567507383696524	0.21037082307554325
Sample_003	0.16874302125633986	0.056184051248573515	0.0843825142267634	0.3319338464330853	0.05828196599904238	0.05006207923883208	0.08114675596837774	0.12492514526242163	0.007386446712977864	0.03695417365358621
Sample_004	0.1331854688645671	0.15952523378916209	0.19303802236475015	0.02860156362800108	9.867037144044821e-05	0.04179768005140799	0.06111912052720214	0.2486114342261664	0.07151348401202967	0.06250932216527291
Sample_005	0.2524256774297888	0.01843390535890389	0.06749314482089672	0.16329365353341008	0.007030509479515917	0.01187592208089065	0.04438791939388546	0.13315749351505074	0.2239539829894018	0.07794779139825593
Sample_006	0.11129109221819768	0.2883885925745727	0.039009466885892505	0.02676412744380636	0.051372179191987735	0.05993483905377105	0.05915701550517608	0.2537389626623358	0.006796506420114213	0.10354721804414582
Sample_007	0.06425164846685183	0.12233315555661427	0.06784544019034389	0.12603372780974817	0.1692666509413308	0.07370995726109399	0.14291480024196254	0.14560790759206946	0.08557601890616454	0.002460693033820343
Sample_008	0.11893691743511717	0.06979844421577579	0.03489167563308929	0.11224799724513274	0.16036678598545054	0.0004168596196401612	0.012507013062297895	0.06395511234773339	0.06375937446695765	0.36311981998880527
Sample_009	0.008006292862986585	0.01602387433559264	0.09659038616736637	0.14832081761649585	0.11059790529183908	0.2981177241048479	0.0065583169821379125	0.05440043508580978	0.141231370072189	0.12015287748073489
Sample_010	0.14378302382265207	0.0754102571783942	0.10594023326913635	0.07035558588119092	0.20203948657702864	0.05316527500574737	0.09067795024884263	0.03516337301141161	0.030373041298488418	0.19309177370710762
Sample_011	0.07628272630482581	0.07205186637214725	0.106459858491021	0.007796867843061427	0.05561393542601283	0.07911411906748014	0.18364880597949093	0.110599866149214	0.2663781938117084	0.04205376055503799
