checking	Project_ID	First_Project_ID	Second_Project_ID	Original_Project_description	Curated_Project_description	has_it_been_collected	why_not_collect	Number_of_samples	Number_of_runs	Population	Related_Publications	isIndepthAnalzed
0	PRJDB3601	PRJDB3601	DRP003048	The gut microbiome of healthy Japanese and its microbial and functional uniqueness	NULL	Y	part phenotype data	255	400	Japan	26951067	0
1	PRJDB4038	PRJDB4038	DRP003166	Infant gut microbiota development in the 1st month of life. V1-V2 resion of 16S rRNA gene. approximately 17 sample per infant	NULL	Y		239	239	Infant	27340092	0
0	PRJDB4176	PRJDB4176	NULL	Total microbial community DNA was isolated from the fecal samples of Japanese patients who underwent colonoscopy at National Cancer Research Center. The study population contains health  early and advanced cancer stages.	NULL	Y		645	645	NULL	NULL	0
1	PRJDB4360	PRJDB4360	DRP003135	Fecal samples from 367 healthy Japanese subjects were analyzed by high-throughput sequencing of amplicons derived from the V3-V4 region of the 16S rRNA gene.	NULL	Y		469	469	Japanese	27220822	0
1	PRJDB4871	PRJDB4871	DRP003306	Patients with pediatric Primary Sclesrosing Cholangitis (PSC) compared with Ulcerative Colitis (UC) and healthy controls. After purifying the bacterial DNA from sample feces, the 16S rDNA V1-V2 region was sequenced for analysis of the bacterial communities. There were fourteen PSC patients and one UC patient were taking salazosulfapyridine (SASP).	NULL	Y		66	66	NULL	24402126	0
1	PRJDB4998	PRJDB4998	DRP003338	Fecal microbiota of Japanese healthy adults. 16s rRNA gene library of V1-V2 hyper variable regions derived from the fecal samples of 516 subjects.	NULL	Y		516	516	NULL	27894251	0
1	PRJDB5442	PRJDB5442	DRP004054	BACKGROUND/AIMS: &#10;Dysbiosis is associated with various systemic disorders including irritable bowel syndrome (IBS). Fecal microbiota transplantation (FMT) might restore intestinal microbial balance. The study aimed to determine the safety and efficacy of FMT in IBS patients, as well as also positive predictors for FMT.&#10;METHODS: &#10;This was a single-arm, open-label study. Eligible patients were diagnosed based on Rome III Diagnostic Criteria. Fecal materials were administered to the patient via colonoscopy. The primary end point was a change in the Bristol stool form scale at 4 weeks after FMT. Recovery to types 3-4 was considered a clinical response. The secondary end point was a change in intestinal microbiota and psychological status using the Hamilton Rating Scale.&#10;RESULTS: &#10;Ten patients were enrolled. Six patients achieved a clinical response. The diversity of patients 4 weeks after FMT increased significantly compared with patients before FMT, and that of responding patients was significantly higher than non-responder patients. The abundance of Bifidobacterium in effective donors was significantly higher than in ineffective donors and patients. Psychological status of all patients was significantly improved after FMT.&#10;CONCLUSIONS: &#10;FMT for patients with IBS is safe, and relatively effective. Bifidobacterium-rich fecal donor may be a positive predictor for successful FMT. Key Summary: (1) Dysbiosis is associated with various gastrointestinal disorders including IBS. (2) FMT has potential to restore intestinal microbial balance. (3) We showed that FMT improved stool form and psychological status of IBS patients. (4) Bifidobacterium-rich donor efficiently induced symbiosis in IBS patients.	NULL	Y		40	40	NULL	28628918	0
0	PRJDB6472	NULL	NULL	Increasing evidence suggests gut microbiota play a pivotal role in development of atherosclerotic cardiovascular disease. However, it still remains unclear how the specific gut bacteria contributes to the atherosclerosis progression. Here, we compared the gut microbiome in patients with or without coronary artery disease (CAD), and studied the underlying mechanisms using mice model. Fecal 16S rRNA gene sequencing revealed lower abundance of Bacteroides vulgatus and Bacteroides dorei in patients with CAD. Gavage with live-B. vulgatus and B. dorei ameliorated the atherosclerotic lesion formation in atherosclerosis-prone mice. Markedly decreasing gut microbial lipopolysaccharide production and intestinal permeability attributed to the attenuation of endotoxemia and suppression of the proinflammatory immune response. Furthermore, significant increasing gut microbial lipopolysaccharide production in CAD patients was observed. Our findings identify causal link between specific gut bacteria and atherosclerosis, and provide a novel intervention in CAD by targeting the gut microbiota.	96samples include 36 empty-disease(not coolect)	Y	NULL	30	30	Japan	30571343	0
0	PRJDB7128	PRJDB7128	DRP006185	The effect of laxatives on gut microbiota. In this study, we examined about the effect of laxatives on gut microbiota. We collected samples three times, Day 0 (1day before taking a laxatives), Day 1 (Immediately after taking a laxative) and Day 14 (14 days after taking a laxatives). Control groups samples were collected three times, Day 1, Day14 (14 days from the first sampling day) and Day 28 (28 days from the first sampling day). Total 93 samples were collected in this study, and we examined the influence depending on laxative type. We also searched whether or not there are bacteria susceptible to laxative influence.	NULL	N	laxatives treatment. 	93	93	Japanese	NULL	0
0	PRJDB7456	NULL	NULL	Increasing evidence has suggested a strong relationship between gut microbiota and coronary artery disease (CAD). We have previously reported that Bacteroides vulgatus and Bacteroides dorei were relatively depleted in CAD patients and inhibited atherosclerosis in mice. This implies that expansion of these species abundance could help CAD patients. Although resistant starch (RS) consumption prevent future CAD, the role of the gut microbiota with respect to observed beneficial effects still remains unclear. This study investigated the impact of RS on gut microbiota and its metabolites of patients with or without CAD in our single-batch fermentation system (KUHIMM; Kobe University Human Intestinal Microbiota Model) prior to the clinical trials. Fecal samples from 11 CAD patients and 10 non-CAD controls were fermented for 30 h with or without RS in KUHIMM. Bacterial 16S rRNA gene sequencing analysis showed various gut microbial responses to RS, concomitant with significant increases of butyrate production, though diversity did not significantly change. The abundance of Bacteroides vulgatus and Bacteroides dorei were relatively increased in CAD patients after RS supplementation. We first demonstrated how RS change gut microbial composition and its metabolites in both CAD patients and non-CAD controls. Our fermentation system may be useful for pre-clinical evaluation of the effect of RS on gut microbiota and its metabolites prior to clinical settings.	63run id,21sample id	Y	NULL	21	63	Japan	30587666	0
