mesh_id,phenotype_name,sample_count,species_records,genus_records,species_file,genus_file
D001714,Bipolar Disorder,552,126816,56694,Bipolar_Disorder_species_abundance.csv,Bipolar_Disorder_genus_abundance.csv
D003863,Depression,552,126816,56694,Depression_species_abundance.csv,Depression_genus_abundance.csv
D007410,Intestinal Diseases,698,61098,27187,Intestinal_Diseases_species_abundance.csv,Intestinal_Diseases_genus_abundance.csv
D008171,Lung Diseases,1110,72664,32387,Lung_Diseases_species_abundance.csv,Lung_Diseases_genus_abundance.csv
D012559,Schizophrenia,552,126816,56694,Schizophrenia_species_abundance.csv,Schizophrenia_genus_abundance.csv
D013959,Thyroid Diseases,999,85973,38179,Thyroid_Diseases_species_abundance.csv,Thyroid_Diseases_genus_abundance.csv
D043183,Irritable Bowel Syndrome,1219,83909,37518,Irritable_Bowel_Syndrome_species_abundance.csv,Irritable_Bowel_Syndrome_genus_abundance.csv
D001327,Autoimmune Diseases,1053,82761,36720,Autoimmune_Diseases_species_abundance.csv,Autoimmune_Diseases_genus_abundance.csv
D003967,Diarrhea,644,72557,31957,Diarrhea_species_abundance.csv,Diarrhea_genus_abundance.csv
D003920,Diabetes Mellitus,204,25746,11211,Diabetes_Mellitus_species_abundance.csv,Diabetes_Mellitus_genus_abundance.csv
D006262,Health,2644,42661,18314,Health_species_abundance.csv,Health_genus_abundance.csv
D003015,Clostridium Infections,163,22164,10032,Clostridium_Infections_species_abundance.csv,Clostridium_Infections_genus_abundance.csv
D015212,Inflammatory Bowel Diseases,422,21607,9593,Inflammatory_Bowel_Diseases_species_abundance.csv,Inflammatory_Bowel_Diseases_genus_abundance.csv
D003248,Constipation,1077,77804,34150,Constipation_species_abundance.csv,Constipation_genus_abundance.csv
D008881,Migraine Disorders,1111,70674,31105,Migraine_Disorders_species_abundance.csv,Migraine_Disorders_genus_abundance.csv
D004827,Epilepsy,102,7343,3243,Epilepsy_species_abundance.csv,Epilepsy_genus_abundance.csv
D002318,Cardiovascular Diseases,290,22542,10044,Cardiovascular_Diseases_species_abundance.csv,Cardiovascular_Diseases_genus_abundance.csv
D002446,Celiac Disease,129,8579,3931,Celiac_Disease_species_abundance.csv,Celiac_Disease_genus_abundance.csv
D007674,Kidney Diseases,155,8209,3988,Kidney_Diseases_species_abundance.csv,Kidney_Diseases_genus_abundance.csv
D001289,Attention Deficit Disorder with Hyperactivity,376,35844,15895,Attention_Deficit_Disorder_with_Hyperactivity_species_abundance.csv,Attention_Deficit_Disorder_with_Hyperactivity_genus_abundance.csv
D008107,Liver Diseases,168,14264,6305,Liver_Diseases_species_abundance.csv,Liver_Diseases_genus_abundance.csv
D000067877,Autism Spectrum Disorder,218,12402,5365,Autism_Spectrum_Disorder_species_abundance.csv,Autism_Spectrum_Disorder_genus_abundance.csv
D010661,Phenylketonurias,10,0,0,,
D000544,Alzheimer Disease,13,120,51,Alzheimer_Disease_species_abundance.csv,Alzheimer_Disease_genus_abundance.csv
