loaded_uid,ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
38171.0,816,genus,19.3232,Bacteroides,ERR1073812
38171.0,216851,genus,8.09883,Faecalibacterium,ERR1073812
38171.0,239759,genus,3.12022,Alistipes,ERR1073812
38171.0,838,genus,2.41804,Prevotella,ERR1073812
38171.0,375288,genus,0.950319,Parabacteroides,ERR1073812
38171.0,1730,genus,0.802492,Eubacterium,ERR1073812
38171.0,39948,genus,0.654664,Dialister,ERR1073812
38171.0,577309,genus,0.649385,Paraprevotella,ERR1073812
38171.0,459786,genus,0.628267,Oscillibacter,ERR1073812
38171.0,572511,genus,0.570192,Blautia,ERR1073812
38171.0,1506553,genus,0.295655,Lachnoclostridium,ERR1073812
38171.0,577310,genus,0.269257,Parasutterella,ERR1073812
38171.0,35832,genus,0.248139,Bilophila,ERR1073812
38171.0,1508657,genus,0.23758,Ruminiclostridium,ERR1073812
38171.0,283168,genus,0.211182,Odoribacter,ERR1073812
38171.0,189330,genus,0.163666,Dorea,ERR1073812
38171.0,841,genus,0.158387,Roseburia,ERR1073812
38171.0,33042,genus,0.131989,Coprococcus,ERR1073812
38171.0,561,genus,0.100311,Escherichia,ERR1073812
38171.0,872,genus,0.0950319,Desulfovibrio,ERR1073812
38171.0,1678,genus,0.0791933,Bifidobacterium,ERR1073812
38171.0,244127,genus,0.0686342,Anaerotruncus,ERR1073812
38171.0,1506577,genus,0.0580751,Tyzzerella,ERR1073812
38171.0,286,genus,0.047516,Pseudomonas,ERR1073812
38171.0,1301,genus,0.047516,Streptococcus,ERR1073812
38171.0,1505663,genus,0.0422364,Erysipelatoclostridium,ERR1073812
38171.0,44748,genus,0.0369569,Sporobacter,ERR1073812
38171.0,590,genus,0.0316773,Salmonella,ERR1073812
38171.0,990721,genus,0.0263978,Christensenella,ERR1073812
38171.0,1485,genus,0.0263978,Clostridium,ERR1073812
38171.0,52784,genus,0.0263978,Anaerofilum,ERR1073812
38171.0,1386,genus,0.0211182,Bacillus,ERR1073812
38171.0,1263,genus,0.0211182,Ruminococcus,ERR1073812
38171.0,482,genus,0.0158387,Neisseria,ERR1073812
38171.0,61170,genus,0.0158387,Holdemania,ERR1073812
38171.0,29465,genus,0.0158387,Veillonella,ERR1073812
38171.0,642,genus,0.0105591,Aeromonas,ERR1073812
38171.0,581,genus,0.0105591,Morganella,ERR1073812
38171.0,84108,genus,0.0105591,Slackia,ERR1073812
38171.0,848,genus,0.0105591,Fusobacterium,ERR1073812
38171.0,702,genus,0.0105591,Plesiomonas,ERR1073812
38171.0,53335,genus,0.0105591,Pantoea,ERR1073812
38171.0,830,genus,0.0105591,Butyrivibrio,ERR1073812
38171.0,84567,genus,0.0105591,Pedobacter,ERR1073812
38171.0,100883,genus,0.0105591,Coprobacillus,ERR1073812
38171.0,469,genus,0.0105591,Acinetobacter,ERR1073812
38171.0,998014,genus,0.0105591,Cocleimonas,ERR1073812
38171.0,1548510,genus,0.00527955,Microbacter,ERR1073812
38171.0,32207,genus,0.00527955,Rothia,ERR1073812
38171.0,182709,genus,0.00527955,Oceanobacillus,ERR1073812
38171.0,1350,genus,0.00527955,Enterococcus,ERR1073812
38171.0,413496,genus,0.00527955,Cronobacter,ERR1073812
38171.0,898,genus,0.00527955,Desulfomicrobium,ERR1073812
38171.0,866673,genus,0.00527955,Marinifilum,ERR1073812
38171.0,34037,genus,0.00527955,Rahnella,ERR1073812
38171.0,106633,genus,0.00527955,Thioalkalivibrio,ERR1073812
38171.0,40222,genus,0.00527955,Methylophaga,ERR1073812
38171.0,445,genus,0.00527955,Legionella,ERR1073812
38171.0,40323,genus,0.00527955,Stenotrophomonas,ERR1073812
38171.0,620,genus,0.00527955,Shigella,ERR1073812
38171.0,2093,genus,0.00527955,Mycoplasma,ERR1073812
38171.0,28231,genus,0.00527955,Geobacter,ERR1073812
38171.0,724,genus,0.00527955,Haemophilus,ERR1073812
38171.0,1645,genus,0.00527955,Renibacterium,ERR1073812
38171.0,239934,genus,0.00527955,Akkermansia,ERR1073812
38171.0,79328,genus,0.00527955,Chitinophaga,ERR1073812
38171.0,129337,genus,0.00527955,Geobacillus,ERR1073812
,-1,genus,59.0993,Unknown,ERR1073812
38171.0,816,genus,19.3232,Bacteroides,ERR1073812
38171.0,216851,genus,8.09883,Faecalibacterium,ERR1073812
38171.0,239759,genus,3.12022,Alistipes,ERR1073812
38171.0,838,genus,2.41804,Prevotella,ERR1073812
38171.0,375288,genus,0.950319,Parabacteroides,ERR1073812
38171.0,1730,genus,0.802492,Eubacterium,ERR1073812
38171.0,39948,genus,0.654664,Dialister,ERR1073812
38171.0,577309,genus,0.649385,Paraprevotella,ERR1073812
38171.0,459786,genus,0.628267,Oscillibacter,ERR1073812
38171.0,572511,genus,0.570192,Blautia,ERR1073812
38171.0,1506553,genus,0.295655,Lachnoclostridium,ERR1073812
38171.0,577310,genus,0.269257,Parasutterella,ERR1073812
38171.0,35832,genus,0.248139,Bilophila,ERR1073812
38171.0,1508657,genus,0.23758,Ruminiclostridium,ERR1073812
38171.0,283168,genus,0.211182,Odoribacter,ERR1073812
38171.0,189330,genus,0.163666,Dorea,ERR1073812
38171.0,841,genus,0.158387,Roseburia,ERR1073812
38171.0,33042,genus,0.131989,Coprococcus,ERR1073812
38171.0,561,genus,0.100311,Escherichia,ERR1073812
38171.0,872,genus,0.0950319,Desulfovibrio,ERR1073812
38171.0,1678,genus,0.0791933,Bifidobacterium,ERR1073812
38171.0,244127,genus,0.0686342,Anaerotruncus,ERR1073812
38171.0,1506577,genus,0.0580751,Tyzzerella,ERR1073812
38171.0,1301,genus,0.047516,Streptococcus,ERR1073812
38171.0,286,genus,0.047516,Pseudomonas,ERR1073812
38171.0,1505663,genus,0.0422364,Erysipelatoclostridium,ERR1073812
38171.0,44748,genus,0.0369569,Sporobacter,ERR1073812
38171.0,590,genus,0.0316773,Salmonella,ERR1073812
38171.0,52784,genus,0.0263978,Anaerofilum,ERR1073812
38171.0,990721,genus,0.0263978,Christensenella,ERR1073812
38171.0,1485,genus,0.0263978,Clostridium,ERR1073812
38171.0,1263,genus,0.0211182,Ruminococcus,ERR1073812
38171.0,1386,genus,0.0211182,Bacillus,ERR1073812
38171.0,482,genus,0.0158387,Neisseria,ERR1073812
38171.0,61170,genus,0.0158387,Holdemania,ERR1073812
38171.0,29465,genus,0.0158387,Veillonella,ERR1073812
38171.0,998014,genus,0.0105591,Cocleimonas,ERR1073812
38171.0,642,genus,0.0105591,Aeromonas,ERR1073812
38171.0,581,genus,0.0105591,Morganella,ERR1073812
38171.0,84108,genus,0.0105591,Slackia,ERR1073812
38171.0,848,genus,0.0105591,Fusobacterium,ERR1073812
38171.0,702,genus,0.0105591,Plesiomonas,ERR1073812
38171.0,53335,genus,0.0105591,Pantoea,ERR1073812
38171.0,830,genus,0.0105591,Butyrivibrio,ERR1073812
38171.0,84567,genus,0.0105591,Pedobacter,ERR1073812
38171.0,100883,genus,0.0105591,Coprobacillus,ERR1073812
38171.0,469,genus,0.0105591,Acinetobacter,ERR1073812
38171.0,1645,genus,0.00527955,Renibacterium,ERR1073812
38171.0,239934,genus,0.00527955,Akkermansia,ERR1073812
38171.0,79328,genus,0.00527955,Chitinophaga,ERR1073812
38171.0,129337,genus,0.00527955,Geobacillus,ERR1073812
38171.0,1548510,genus,0.00527955,Microbacter,ERR1073812
38171.0,32207,genus,0.00527955,Rothia,ERR1073812
38171.0,182709,genus,0.00527955,Oceanobacillus,ERR1073812
38171.0,1350,genus,0.00527955,Enterococcus,ERR1073812
38171.0,413496,genus,0.00527955,Cronobacter,ERR1073812
38171.0,898,genus,0.00527955,Desulfomicrobium,ERR1073812
38171.0,866673,genus,0.00527955,Marinifilum,ERR1073812
38171.0,34037,genus,0.00527955,Rahnella,ERR1073812
38171.0,106633,genus,0.00527955,Thioalkalivibrio,ERR1073812
38171.0,40222,genus,0.00527955,Methylophaga,ERR1073812
38171.0,445,genus,0.00527955,Legionella,ERR1073812
38171.0,40323,genus,0.00527955,Stenotrophomonas,ERR1073812
38171.0,620,genus,0.00527955,Shigella,ERR1073812
38171.0,2093,genus,0.00527955,Mycoplasma,ERR1073812
38171.0,28231,genus,0.00527955,Geobacter,ERR1073812
38171.0,724,genus,0.00527955,Haemophilus,ERR1073812
,-1,genus,59.0993,Unknown,ERR1073812
38171.0,816,genus,19.3232,Bacteroides,ERR1073812
38171.0,216851,genus,8.09883,Faecalibacterium,ERR1073812
38171.0,239759,genus,3.12022,Alistipes,ERR1073812
38171.0,838,genus,2.41804,Prevotella,ERR1073812
38171.0,375288,genus,0.950319,Parabacteroides,ERR1073812
38171.0,1730,genus,0.802492,Eubacterium,ERR1073812
38171.0,39948,genus,0.654664,Dialister,ERR1073812
38171.0,577309,genus,0.649385,Paraprevotella,ERR1073812
38171.0,459786,genus,0.628267,Oscillibacter,ERR1073812
38171.0,572511,genus,0.570192,Blautia,ERR1073812
38171.0,1506553,genus,0.295655,Lachnoclostridium,ERR1073812
38171.0,577310,genus,0.269257,Parasutterella,ERR1073812
38171.0,35832,genus,0.248139,Bilophila,ERR1073812
38171.0,1508657,genus,0.23758,Ruminiclostridium,ERR1073812
38171.0,283168,genus,0.211182,Odoribacter,ERR1073812
38171.0,189330,genus,0.163666,Dorea,ERR1073812
38171.0,841,genus,0.158387,Roseburia,ERR1073812
38171.0,33042,genus,0.131989,Coprococcus,ERR1073812
38171.0,561,genus,0.100311,Escherichia,ERR1073812
38171.0,872,genus,0.0950319,Desulfovibrio,ERR1073812
38171.0,1678,genus,0.0791933,Bifidobacterium,ERR1073812
38171.0,244127,genus,0.0686342,Anaerotruncus,ERR1073812
38171.0,1506577,genus,0.0580751,Tyzzerella,ERR1073812
38171.0,286,genus,0.047516,Pseudomonas,ERR1073812
38171.0,1301,genus,0.047516,Streptococcus,ERR1073812
38171.0,1505663,genus,0.0422364,Erysipelatoclostridium,ERR1073812
38171.0,44748,genus,0.0369569,Sporobacter,ERR1073812
38171.0,590,genus,0.0316773,Salmonella,ERR1073812
38171.0,990721,genus,0.0263978,Christensenella,ERR1073812
38171.0,1485,genus,0.0263978,Clostridium,ERR1073812
38171.0,52784,genus,0.0263978,Anaerofilum,ERR1073812
38171.0,1263,genus,0.0211182,Ruminococcus,ERR1073812
38171.0,1386,genus,0.0211182,Bacillus,ERR1073812
38171.0,61170,genus,0.0158387,Holdemania,ERR1073812
38171.0,29465,genus,0.0158387,Veillonella,ERR1073812
38171.0,482,genus,0.0158387,Neisseria,ERR1073812
38171.0,53335,genus,0.0105591,Pantoea,ERR1073812
38171.0,830,genus,0.0105591,Butyrivibrio,ERR1073812
38171.0,84567,genus,0.0105591,Pedobacter,ERR1073812
38171.0,100883,genus,0.0105591,Coprobacillus,ERR1073812
38171.0,469,genus,0.0105591,Acinetobacter,ERR1073812
38171.0,998014,genus,0.0105591,Cocleimonas,ERR1073812
38171.0,642,genus,0.0105591,Aeromonas,ERR1073812
38171.0,581,genus,0.0105591,Morganella,ERR1073812
38171.0,84108,genus,0.0105591,Slackia,ERR1073812
38171.0,848,genus,0.0105591,Fusobacterium,ERR1073812
38171.0,702,genus,0.0105591,Plesiomonas,ERR1073812
38171.0,106633,genus,0.00527955,Thioalkalivibrio,ERR1073812
38171.0,40222,genus,0.00527955,Methylophaga,ERR1073812
38171.0,445,genus,0.00527955,Legionella,ERR1073812
38171.0,40323,genus,0.00527955,Stenotrophomonas,ERR1073812
38171.0,620,genus,0.00527955,Shigella,ERR1073812
38171.0,2093,genus,0.00527955,Mycoplasma,ERR1073812
38171.0,28231,genus,0.00527955,Geobacter,ERR1073812
38171.0,724,genus,0.00527955,Haemophilus,ERR1073812
38171.0,1645,genus,0.00527955,Renibacterium,ERR1073812
38171.0,239934,genus,0.00527955,Akkermansia,ERR1073812
38171.0,79328,genus,0.00527955,Chitinophaga,ERR1073812
38171.0,129337,genus,0.00527955,Geobacillus,ERR1073812
38171.0,1548510,genus,0.00527955,Microbacter,ERR1073812
38171.0,32207,genus,0.00527955,Rothia,ERR1073812
38171.0,182709,genus,0.00527955,Oceanobacillus,ERR1073812
38171.0,1350,genus,0.00527955,Enterococcus,ERR1073812
38171.0,413496,genus,0.00527955,Cronobacter,ERR1073812
38171.0,898,genus,0.00527955,Desulfomicrobium,ERR1073812
38171.0,866673,genus,0.00527955,Marinifilum,ERR1073812
38171.0,34037,genus,0.00527955,Rahnella,ERR1073812
,-1,genus,59.0993,Unknown,ERR1073812
38171.0,816,genus,19.3232,Bacteroides,ERR1073812
38171.0,216851,genus,8.09883,Faecalibacterium,ERR1073812
38171.0,239759,genus,3.12022,Alistipes,ERR1073812
38171.0,838,genus,2.41804,Prevotella,ERR1073812
38171.0,375288,genus,0.950319,Parabacteroides,ERR1073812
38171.0,1730,genus,0.802492,Eubacterium,ERR1073812
38171.0,39948,genus,0.654664,Dialister,ERR1073812
38171.0,577309,genus,0.649385,Paraprevotella,ERR1073812
38171.0,459786,genus,0.628267,Oscillibacter,ERR1073812
38171.0,572511,genus,0.570192,Blautia,ERR1073812
38171.0,1506553,genus,0.295655,Lachnoclostridium,ERR1073812
38171.0,577310,genus,0.269257,Parasutterella,ERR1073812
38171.0,35832,genus,0.248139,Bilophila,ERR1073812
38171.0,1508657,genus,0.23758,Ruminiclostridium,ERR1073812
38171.0,283168,genus,0.211182,Odoribacter,ERR1073812
38171.0,189330,genus,0.163666,Dorea,ERR1073812
38171.0,841,genus,0.158387,Roseburia,ERR1073812
38171.0,33042,genus,0.131989,Coprococcus,ERR1073812
38171.0,561,genus,0.100311,Escherichia,ERR1073812
38171.0,872,genus,0.0950319,Desulfovibrio,ERR1073812
38171.0,1678,genus,0.0791933,Bifidobacterium,ERR1073812
38171.0,244127,genus,0.0686342,Anaerotruncus,ERR1073812
38171.0,1506577,genus,0.0580751,Tyzzerella,ERR1073812
38171.0,1301,genus,0.047516,Streptococcus,ERR1073812
38171.0,286,genus,0.047516,Pseudomonas,ERR1073812
38171.0,1505663,genus,0.0422364,Erysipelatoclostridium,ERR1073812
38171.0,44748,genus,0.0369569,Sporobacter,ERR1073812
38171.0,590,genus,0.0316773,Salmonella,ERR1073812
38171.0,990721,genus,0.0263978,Christensenella,ERR1073812
38171.0,1485,genus,0.0263978,Clostridium,ERR1073812
38171.0,52784,genus,0.0263978,Anaerofilum,ERR1073812
38171.0,1386,genus,0.0211182,Bacillus,ERR1073812
38171.0,1263,genus,0.0211182,Ruminococcus,ERR1073812
38171.0,482,genus,0.0158387,Neisseria,ERR1073812
38171.0,61170,genus,0.0158387,Holdemania,ERR1073812
38171.0,29465,genus,0.0158387,Veillonella,ERR1073812
38171.0,998014,genus,0.0105591,Cocleimonas,ERR1073812
38171.0,642,genus,0.0105591,Aeromonas,ERR1073812
38171.0,581,genus,0.0105591,Morganella,ERR1073812
38171.0,84108,genus,0.0105591,Slackia,ERR1073812
38171.0,848,genus,0.0105591,Fusobacterium,ERR1073812
38171.0,702,genus,0.0105591,Plesiomonas,ERR1073812
38171.0,53335,genus,0.0105591,Pantoea,ERR1073812
38171.0,830,genus,0.0105591,Butyrivibrio,ERR1073812
38171.0,84567,genus,0.0105591,Pedobacter,ERR1073812
38171.0,100883,genus,0.0105591,Coprobacillus,ERR1073812
38171.0,469,genus,0.0105591,Acinetobacter,ERR1073812
38171.0,129337,genus,0.00527955,Geobacillus,ERR1073812
38171.0,1548510,genus,0.00527955,Microbacter,ERR1073812
38171.0,32207,genus,0.00527955,Rothia,ERR1073812
38171.0,182709,genus,0.00527955,Oceanobacillus,ERR1073812
38171.0,1350,genus,0.00527955,Enterococcus,ERR1073812
38171.0,413496,genus,0.00527955,Cronobacter,ERR1073812
38171.0,898,genus,0.00527955,Desulfomicrobium,ERR1073812
38171.0,866673,genus,0.00527955,Marinifilum,ERR1073812
38171.0,34037,genus,0.00527955,Rahnella,ERR1073812
38171.0,106633,genus,0.00527955,Thioalkalivibrio,ERR1073812
38171.0,40222,genus,0.00527955,Methylophaga,ERR1073812
38171.0,445,genus,0.00527955,Legionella,ERR1073812
38171.0,40323,genus,0.00527955,Stenotrophomonas,ERR1073812
38171.0,620,genus,0.00527955,Shigella,ERR1073812
38171.0,2093,genus,0.00527955,Mycoplasma,ERR1073812
38171.0,28231,genus,0.00527955,Geobacter,ERR1073812
38171.0,724,genus,0.00527955,Haemophilus,ERR1073812
38171.0,1645,genus,0.00527955,Renibacterium,ERR1073812
38171.0,239934,genus,0.00527955,Akkermansia,ERR1073812
38171.0,79328,genus,0.00527955,Chitinophaga,ERR1073812
,-1,genus,59.0993,Unknown,ERR1073812
38171.0,816,genus,19.3232,Bacteroides,ERR1073812
38171.0,216851,genus,8.09883,Faecalibacterium,ERR1073812
38171.0,239759,genus,3.12022,Alistipes,ERR1073812
38171.0,838,genus,2.41804,Prevotella,ERR1073812
38171.0,375288,genus,0.950319,Parabacteroides,ERR1073812
38171.0,1730,genus,0.802492,Eubacterium,ERR1073812
38171.0,39948,genus,0.654664,Dialister,ERR1073812
38171.0,577309,genus,0.649385,Paraprevotella,ERR1073812
38171.0,459786,genus,0.628267,Oscillibacter,ERR1073812
38171.0,572511,genus,0.570192,Blautia,ERR1073812
38171.0,1506553,genus,0.295655,Lachnoclostridium,ERR1073812
38171.0,577310,genus,0.269257,Parasutterella,ERR1073812
38171.0,35832,genus,0.248139,Bilophila,ERR1073812
38171.0,1508657,genus,0.23758,Ruminiclostridium,ERR1073812
38171.0,283168,genus,0.211182,Odoribacter,ERR1073812
