ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
821,species,11.9212,Bacteroides vulgatus,ERR1073812
1755626,species,8.09883,Faecalibacterium sp. MC_41,ERR1073812
189722,species,2.27549,Prevotella marshii,ERR1073812
204516,species,2.08542,Bacteroides massiliensis,ERR1073812
28116,species,1.78977,Bacteroides ovatus,ERR1073812
818,species,1.50467,Bacteroides thetaiotaomicron,ERR1073812
28117,species,1.07175,Alistipes putredinis,ERR1073812
820,species,1.05063,Bacteroides uniformis,ERR1073812
626932,species,0.802492,Alistipes indistinctus,ERR1073812
39485,species,0.686342,[Eubacterium] eligens,ERR1073812
218538,species,0.654664,Dialister invisus,ERR1073812
823,species,0.654664,Parabacteroides distasonis,ERR1073812
454154,species,0.644105,Paraprevotella clara,ERR1073812
351091,species,0.628267,Oscillibacter valericigenes,ERR1073812
46506,species,0.512117,Bacteroides stercoris,ERR1073812
1755610,species,0.47516,Alistipes sp. MC_19,ERR1073812
28446,species,0.46988,[Clostridium] propionicum,ERR1073812
36847,species,0.401246,[Clostridium] neopropionicum,ERR1073812
328814,species,0.385407,Alistipes shahii,ERR1073812
40520,species,0.374848,Blautia obeum,ERR1073812
1465754,species,0.343171,Alistipes timonensis,ERR1073812
46503,species,0.295655,Parabacteroides merdae,ERR1073812
487175,species,0.269257,Parasutterella excrementihominis,ERR1073812
35833,species,0.248139,Bilophila wadsworthia,ERR1073812
28118,species,0.211182,Odoribacter splanchnicus,ERR1073812
39486,species,0.163666,Dorea formicigenerans,ERR1073812
536633,species,0.163666,Blautia glucerasea,ERR1073812
410072,species,0.131989,Coprococcus comes,ERR1073812
69825,species,0.126709,[Clostridium] indolis,ERR1073812
291644,species,0.126709,Bacteroides salyersiae,ERR1073812
246787,species,0.110871,Bacteroides cellulosilyticus,ERR1073812
1535,species,0.105591,[Clostridium] leptum,ERR1073812
562,species,0.100311,Escherichia coli,ERR1073812
301301,species,0.100311,Roseburia hominis,ERR1073812
39496,species,0.100311,Eubacterium ventriosum,ERR1073812
39484,species,0.0950319,Eubacterium desmolans,ERR1073812
185293,species,0.0950319,Prevotella oryzae,ERR1073812
1515,species,0.0739137,Ruminiclostridium thermocellum,ERR1073812
