ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
820,species,3.25599,Bacteroides uniformis,ERR1072672
1755626,species,1.73905,Faecalibacterium sp. MC_41,ERR1072672
46506,species,1.58783,Bacteroides stercoris,ERR1072672
1515,species,1.2145,Ruminiclostridium thermocellum,ERR1072672
2139,species,0.888427,Spiroplasma clarkii,ERR1072672
246787,species,0.628515,Bacteroides cellulosilyticus,ERR1072672
817,species,0.496196,Bacteroides fragilis,ERR1072672
187327,species,0.415859,Acidaminococcus intestini,ERR1072672
397865,species,0.330797,Barnesiella viscericola,ERR1072672
821,species,0.297718,Bacteroides vulgatus,ERR1072672
44749,species,0.241009,Sporobacter termitidis,ERR1072672
28117,species,0.231558,Alistipes putredinis,ERR1072672
39485,species,0.212655,[Eubacterium] eligens,ERR1072672
351091,species,0.203204,Oscillibacter valericigenes,ERR1072672
28116,species,0.184301,Bacteroides ovatus,ERR1072672
1265,species,0.17485,Ruminococcus flavefaciens,ERR1072672
79883,species,0.14177,Bacillus horikoshii,ERR1072672
291644,species,0.113416,Bacteroides salyersiae,ERR1072672
214856,species,0.113416,Alistipes finegoldii,ERR1072672
239935,species,0.108691,Akkermansia muciniphila,ERR1072672
261299,species,0.0992392,Intestinibacter bartlettii,ERR1072672
387661,species,0.0945135,Parabacteroides johnsonii,ERR1072672
40520,species,0.0945135,Blautia obeum,ERR1072672
823,species,0.0897878,Parabacteroides distasonis,ERR1072672
818,species,0.0803365,Bacteroides thetaiotaomicron,ERR1072672
536633,species,0.0756108,Blautia glucerasea,ERR1072672
29348,species,0.0708851,[Clostridium] spiroforme,ERR1072672
122355,species,0.0661594,Pseudomonas psychrophila,ERR1072672
329854,species,0.0519824,Bacteroides intestinalis,ERR1072672
626931,species,0.0519824,Bacteroides oleiciplenus,ERR1072672
218284,species,0.0472567,Bacillus vietnamensis,ERR1072672
884684,species,0.0472567,Mageeibacillus indolicus,ERR1072672
84032,species,0.0425311,[Clostridium] thermosuccinogenes,ERR1072672
39486,species,0.0425311,Dorea formicigenerans,ERR1072672
882211,species,0.0425311,Pseudomonas deceptionensis,ERR1072672
1402,species,0.0425311,Bacillus licheniformis,ERR1072672
328814,species,0.0378054,Alistipes shahii,ERR1072672
562,species,0.0378054,Escherichia coli,ERR1072672
28901,species,0.0378054,Salmonella enterica,ERR1072672
140314,species,0.0330797,Trichococcus palustris,ERR1072672
1504,species,0.0330797,Clostridium septicum,ERR1072672
301301,species,0.0330797,Roseburia hominis,ERR1072672
930124,species,0.0330797,Bacillus halosaccharovorans,ERR1072672
41276,species,0.0330797,Brevundimonas vesicularis,ERR1072672
47678,species,0.0330797,Bacteroides caccae,ERR1072672
1352,species,0.028354,Enterococcus faecium,ERR1072672
28118,species,0.028354,Odoribacter splanchnicus,ERR1072672
39484,species,0.028354,Eubacterium desmolans,ERR1072672
37734,species,0.028354,Enterococcus casseliflavus,ERR1072672
502558,species,0.028354,Eggerthella sp. YY7918,ERR1072672
34062,species,0.028354,Moraxella osloensis,ERR1072672
288965,species,0.028354,[Clostridium] clariflavum,ERR1072672
328813,species,0.0236284,Alistipes onderdonkii,ERR1072672
1121298,species,0.0236284,Clostridium amylolyticum,ERR1072672
216816,species,0.0236284,Bifidobacterium longum,ERR1072672
1680,species,0.0236284,Bifidobacterium adolescentis,ERR1072672
308892,species,0.0189027,Bacillus boroniphilus,ERR1072672
155617,species,0.0189027,Enterococcus moraviensis,ERR1072672
294,species,0.0189027,Pseudomonas fluorescens,ERR1072672
147645,species,0.0189027,Paracoccus yeei,ERR1072672
35833,species,0.0189027,Bilophila wadsworthia,ERR1072672
626932,species,0.0189027,Alistipes indistinctus,ERR1072672
29367,species,0.0189027,Clostridium puniceum,ERR1072672
876,species,0.0189027,Desulfovibrio desulfuricans,ERR1072672
137732,species,0.0189027,Granulicatella elegans,ERR1072672
291645,species,0.0189027,Bacteroides nordii,ERR1072672
1535,species,0.0189027,[Clostridium] leptum,ERR1072672
626930,species,0.0189027,Bacteroides fluxus,ERR1072672
202955,species,0.0189027,Acinetobacter tjernbergiae,ERR1072672
1408,species,0.014177,Bacillus pumilus,ERR1072672
216940,species,0.014177,Spiroplasma lampyridicola,ERR1072672
1277350,species,0.014177,Geobacter sp. DSM 9736,ERR1072672
885581,species,0.014177,Desulfosporosinus acidiphilus,ERR1072672
1522,species,0.014177,[Clostridium] innocuum,ERR1072672
