ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
882211,species,20.4154,Pseudomonas deceptionensis,ERR1072937
122355,species,19.2656,Pseudomonas psychrophila,ERR1072937
28116,species,9.44206,Bacteroides ovatus,ERR1072937
310298,species,8.68436,Bacteroides coprocola,ERR1072937
820,species,5.87612,Bacteroides uniformis,ERR1072937
1755626,species,3.38049,Faecalibacterium sp. MC_41,ERR1072937
818,species,3.354,Bacteroides thetaiotaomicron,ERR1072937
246787,species,3.27452,Bacteroides cellulosilyticus,ERR1072937
817,species,2.49563,Bacteroides fragilis,ERR1072937
729,species,1.22927,Haemophilus parainfluenzae,ERR1072937
351091,species,0.927251,Oscillibacter valericigenes,ERR1072937
39485,species,0.906056,[Eubacterium] eligens,ERR1072937
328814,species,0.837175,Alistipes shahii,ERR1072937
536633,species,0.805383,Blautia glucerasea,ERR1072937
40520,species,0.625232,Blautia obeum,ERR1072937
1630,species,0.535156,Kandleria vitulina,ERR1072937
33069,species,0.524559,Pseudomonas viridiflava,ERR1072937
821,species,0.402692,Bacteroides vulgatus,ERR1072937
294,species,0.344407,Pseudomonas fluorescens,ERR1072937
1308,species,0.286123,Streptococcus thermophilus,ERR1072937
329854,species,0.254332,Bacteroides intestinalis,ERR1072937
39484,species,0.249033,Eubacterium desmolans,ERR1072937
28118,species,0.243734,Odoribacter splanchnicus,ERR1072937
39496,species,0.238436,Eubacterium ventriosum,ERR1072937
338188,species,0.227839,Bacteroides finegoldii,ERR1072937
328812,species,0.211943,Parabacteroides goldsteinii,ERR1072937
39492,species,0.206644,[Eubacterium] siraeum,ERR1072937
317,species,0.190749,Pseudomonas syringae,ERR1072937
626930,species,0.164256,Bacteroides fluxus,ERR1072937
371601,species,0.158957,Bacteroides xylanisolvens,ERR1072937
69825,species,0.127166,[Clostridium] indolis,ERR1072937
328813,species,0.127166,Alistipes onderdonkii,ERR1072937
1303,species,0.121867,Streptococcus oralis,ERR1072937
357276,species,0.11127,Bacteroides dorei,ERR1072937
44749,species,0.11127,Sporobacter termitidis,ERR1072937
587753,species,0.105971,Pseudomonas chlororaphis,ERR1072937
169435,species,0.105971,Anaerotruncus colihominis,ERR1072937
28111,species,0.100673,Bacteroides eggerthii,ERR1072937
28446,species,0.100673,[Clostridium] propionicum,ERR1072937
1515,species,0.100673,Ruminiclostridium thermocellum,ERR1072937
84030,species,0.0953743,[Clostridium] saccharolyticum,ERR1072937
33039,species,0.0900758,[Ruminococcus] torques,ERR1072937
290053,species,0.0847772,Bacteroides helcogenes,ERR1072937
243924,species,0.0847772,Pseudomonas lutea,ERR1072937
502558,species,0.0794786,Eggerthella sp. YY7918,ERR1072937
47880,species,0.07418,Pseudomonas fulva,ERR1072937
47884,species,0.07418,Pseudomonas taetrolens,ERR1072937
376804,species,0.07418,Bacteroides barnesiae,ERR1072937
301301,species,0.07418,Roseburia hominis,ERR1072937
84032,species,0.0688815,[Clostridium] thermosuccinogenes,ERR1072937
1755607,species,0.0688815,Bacteroides sp. MC_16,ERR1072937
36835,species,0.0635829,[Clostridium] colinum,ERR1072937
29356,species,0.0635829,Clostridium chartatabidum,ERR1072937
1260,species,0.0635829,Finegoldia magna,ERR1072937
1304,species,0.0635829,Streptococcus salivarius,ERR1072937
29348,species,0.0582843,[Clostridium] spiroforme,ERR1072937
28037,species,0.0582843,Streptococcus mitis,ERR1072937
204516,species,0.0582843,Bacteroides massiliensis,ERR1072937
410072,species,0.0529857,Coprococcus comes,ERR1072937
39486,species,0.0529857,Dorea formicigenerans,ERR1072937
106588,species,0.0529857,Pseudoflavonifractor capillosus,ERR1072937
303,species,0.0476872,Pseudomonas putida,ERR1072937
28117,species,0.0476872,Alistipes putredinis,ERR1072937
1535,species,0.0476872,[Clostridium] leptum,ERR1072937
1512,species,0.0476872,[Clostridium] symbiosum,ERR1072937
47678,species,0.0423886,Bacteroides caccae,ERR1072937
197614,species,0.0423886,Streptococcus pasteurianus,ERR1072937
626931,species,0.0423886,Bacteroides oleiciplenus,ERR1072937
39490,species,0.0423886,Eubacterium ramulus,ERR1072937
29524,species,0.0423886,Porphyromonas circumdentaria,ERR1072937
36847,species,0.03709,[Clostridium] neopropionicum,ERR1072937
61171,species,0.03709,Holdemania filiformis,ERR1072937
46506,species,0.03709,Bacteroides stercoris,ERR1072937
208479,species,0.03709,[Clostridium] bolteae,ERR1072937
33035,species,0.0317914,Blautia producta,ERR1072937
39778,species,0.0317914,Veillonella dispar,ERR1072937
239935,species,0.0317914,Akkermansia muciniphila,ERR1072937
310297,species,0.0317914,Bacteroides plebeius,ERR1072937
84026,species,0.0317914,[Clostridium] methylpentosum,ERR1072937
29466,species,0.0264929,Veillonella parvula,ERR1072937
28038,species,0.0264929,Lactobacillus curvatus,ERR1072937
37734,species,0.0264929,Enterococcus casseliflavus,ERR1072937
28127,species,0.0264929,Prevotella buccalis,ERR1072937
288965,species,0.0264929,[Clostridium] clariflavum,ERR1072937
43675,species,0.0211943,Rothia mucilaginosa,ERR1072937
1352,species,0.0211943,Enterococcus faecium,ERR1072937
281920,species,0.0211943,Porphyromonas uenonis,ERR1072937
40518,species,0.0211943,Ruminococcus bromii,ERR1072937
736,species,0.0211943,Haemophilus paraphrohaemolyticus,ERR1072937
187327,species,0.0158957,Acidaminococcus intestini,ERR1072937
51664,species,0.0158957,Lactobacillus dextrinicus,ERR1072937
1267,species,0.0158957,Clostridium ventriculi,ERR1072937
392838,species,0.0158957,Bacteroides propionicifaciens,ERR1072937
166486,species,0.0158957,Roseburia intestinalis,ERR1072937
839,species,0.0158957,Prevotella ruminicola,ERR1072937
290055,species,0.0105971,[Eubacterium] fissicatena,ERR1072937
155617,species,0.0105971,Enterococcus moraviensis,ERR1072937
658457,species,0.0105971,Pseudomonas composti,ERR1072937
1313,species,0.0105971,Streptococcus pneumoniae,ERR1072937
591197,species,0.0105971,Ignavibacterium album,ERR1072937
