loaded_uid,ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
34038.0,816,genus,17.0077,Bacteroides,ERR1073113
34038.0,216851,genus,1.12201,Faecalibacterium,ERR1073113
34038.0,1730,genus,0.57273,Eubacterium,ERR1073113
34038.0,459786,genus,0.47895,Oscillibacter,ERR1073113
34038.0,239759,genus,0.391868,Alistipes,ERR1073113
34038.0,572511,genus,0.358375,Blautia,ERR1073113
34038.0,1508657,genus,0.328231,Ruminiclostridium,ERR1073113
34038.0,1386,genus,0.301437,Bacillus,ERR1073113
34038.0,1506553,genus,0.271293,Lachnoclostridium,ERR1073113
34038.0,1263,genus,0.247848,Ruminococcus,ERR1073113
34038.0,39948,genus,0.217704,Dialister,ERR1073113
34038.0,35832,genus,0.117225,Bilophila,ERR1073113
34038.0,841,genus,0.100479,Roseburia,ERR1073113
34038.0,244127,genus,0.0904311,Anaerotruncus,ERR1073113
34038.0,156973,genus,0.0904311,Dysgonomonas,ERR1073113
34038.0,1716,genus,0.0870818,Corynebacterium,ERR1073113
34038.0,29465,genus,0.0770339,Veillonella,ERR1073113
34038.0,561,genus,0.0736846,Escherichia,ERR1073113
34038.0,872,genus,0.0401916,Desulfovibrio,ERR1073113
34038.0,1301,genus,0.0368423,Streptococcus,ERR1073113
34038.0,61170,genus,0.0234451,Holdemania,ERR1073113
34038.0,286,genus,0.0167465,Pseudomonas,ERR1073113
34038.0,1505663,genus,0.0167465,Erysipelatoclostridium,ERR1073113
34038.0,52784,genus,0.0133972,Anaerofilum,ERR1073113
34038.0,1051,genus,0.0100479,Ectothiorhodospira,ERR1073113
34038.0,59732,genus,0.0100479,Chryseobacterium,ERR1073113
34038.0,1678,genus,0.0100479,Bifidobacterium,ERR1073113
34038.0,836,genus,0.0100479,Porphyromonas,ERR1073113
34038.0,84111,genus,0.0100479,Eggerthella,ERR1073113
34038.0,1485,genus,0.0100479,Clostridium,ERR1073113
34038.0,157920,genus,0.0066986,Cellulosimicrobium,ERR1073113
34038.0,577310,genus,0.0066986,Parasutterella,ERR1073113
34038.0,838,genus,0.0066986,Prevotella,ERR1073113
34038.0,620,genus,0.0066986,Shigella,ERR1073113
34038.0,1578,genus,0.0066986,Lactobacillus,ERR1073113
34038.0,1350,genus,0.0066986,Enterococcus,ERR1073113
34038.0,84565,genus,0.0066986,Sodalis,ERR1073113
34038.0,207244,genus,0.0066986,Anaerostipes,ERR1073113
34038.0,375288,genus,0.0066986,Parabacteroides,ERR1073113
34038.0,44260,genus,0.0033493,Moorella,ERR1073113
34038.0,265980,genus,0.0033493,Alkalimonas,ERR1073113
34038.0,61434,genus,0.0033493,Dehalococcoides,ERR1073113
34038.0,626,genus,0.0033493,Xenorhabdus,ERR1073113
34038.0,44249,genus,0.0033493,Paenibacillus,ERR1073113
34038.0,34098,genus,0.0033493,Blattabacterium,ERR1073113
34038.0,1565532,genus,0.0033493,Rouxiella,ERR1073113
34038.0,397864,genus,0.0033493,Barnesiella,ERR1073113
34038.0,1017280,genus,0.0033493,Pseudoflavonifractor,ERR1073113
34038.0,41273,genus,0.0033493,Tissierella,ERR1073113
34038.0,528,genus,0.0033493,Ochrobactrum,ERR1073113
34038.0,233189,genus,0.0033493,Anaerolinea,ERR1073113
34038.0,698776,genus,0.0033493,Cellulosilyticum,ERR1073113
34038.0,253238,genus,0.0033493,Ethanoligenens,ERR1073113
34038.0,586,genus,0.0033493,Providencia,ERR1073113
34038.0,135575,genus,0.0033493,Idiomarina,ERR1073113
34038.0,28231,genus,0.0033493,Geobacter,ERR1073113
34038.0,2742,genus,0.0033493,Marinobacter,ERR1073113
34038.0,44748,genus,0.0033493,Sporobacter,ERR1073113
34038.0,482,genus,0.0033493,Neisseria,ERR1073113
,-1,genus,77.5865,Unknown,ERR1073113
34038.0,816,genus,17.0077,Bacteroides,ERR1073113
34038.0,216851,genus,1.12201,Faecalibacterium,ERR1073113
34038.0,1730,genus,0.57273,Eubacterium,ERR1073113
34038.0,459786,genus,0.47895,Oscillibacter,ERR1073113
34038.0,239759,genus,0.391868,Alistipes,ERR1073113
34038.0,572511,genus,0.358375,Blautia,ERR1073113
34038.0,1508657,genus,0.328231,Ruminiclostridium,ERR1073113
34038.0,1386,genus,0.301437,Bacillus,ERR1073113
34038.0,1506553,genus,0.271293,Lachnoclostridium,ERR1073113
34038.0,1263,genus,0.247848,Ruminococcus,ERR1073113
34038.0,39948,genus,0.217704,Dialister,ERR1073113
34038.0,35832,genus,0.117225,Bilophila,ERR1073113
34038.0,841,genus,0.100479,Roseburia,ERR1073113
34038.0,156973,genus,0.0904311,Dysgonomonas,ERR1073113
34038.0,244127,genus,0.0904311,Anaerotruncus,ERR1073113
34038.0,1716,genus,0.0870818,Corynebacterium,ERR1073113
34038.0,29465,genus,0.0770339,Veillonella,ERR1073113
34038.0,561,genus,0.0736846,Escherichia,ERR1073113
34038.0,872,genus,0.0401916,Desulfovibrio,ERR1073113
34038.0,1301,genus,0.0368423,Streptococcus,ERR1073113
34038.0,61170,genus,0.0234451,Holdemania,ERR1073113
34038.0,286,genus,0.0167465,Pseudomonas,ERR1073113
34038.0,1505663,genus,0.0167465,Erysipelatoclostridium,ERR1073113
34038.0,52784,genus,0.0133972,Anaerofilum,ERR1073113
34038.0,84111,genus,0.0100479,Eggerthella,ERR1073113
34038.0,1485,genus,0.0100479,Clostridium,ERR1073113
34038.0,1051,genus,0.0100479,Ectothiorhodospira,ERR1073113
34038.0,59732,genus,0.0100479,Chryseobacterium,ERR1073113
34038.0,1678,genus,0.0100479,Bifidobacterium,ERR1073113
34038.0,836,genus,0.0100479,Porphyromonas,ERR1073113
34038.0,1350,genus,0.0066986,Enterococcus,ERR1073113
34038.0,84565,genus,0.0066986,Sodalis,ERR1073113
34038.0,207244,genus,0.0066986,Anaerostipes,ERR1073113
34038.0,375288,genus,0.0066986,Parabacteroides,ERR1073113
34038.0,157920,genus,0.0066986,Cellulosimicrobium,ERR1073113
34038.0,577310,genus,0.0066986,Parasutterella,ERR1073113
34038.0,838,genus,0.0066986,Prevotella,ERR1073113
34038.0,620,genus,0.0066986,Shigella,ERR1073113
34038.0,1578,genus,0.0066986,Lactobacillus,ERR1073113
34038.0,233189,genus,0.0033493,Anaerolinea,ERR1073113
34038.0,698776,genus,0.0033493,Cellulosilyticum,ERR1073113
34038.0,253238,genus,0.0033493,Ethanoligenens,ERR1073113
34038.0,586,genus,0.0033493,Providencia,ERR1073113
34038.0,135575,genus,0.0033493,Idiomarina,ERR1073113
34038.0,28231,genus,0.0033493,Geobacter,ERR1073113
34038.0,2742,genus,0.0033493,Marinobacter,ERR1073113
34038.0,44748,genus,0.0033493,Sporobacter,ERR1073113
34038.0,482,genus,0.0033493,Neisseria,ERR1073113
34038.0,44260,genus,0.0033493,Moorella,ERR1073113
34038.0,265980,genus,0.0033493,Alkalimonas,ERR1073113
34038.0,61434,genus,0.0033493,Dehalococcoides,ERR1073113
34038.0,626,genus,0.0033493,Xenorhabdus,ERR1073113
34038.0,44249,genus,0.0033493,Paenibacillus,ERR1073113
34038.0,34098,genus,0.0033493,Blattabacterium,ERR1073113
34038.0,1565532,genus,0.0033493,Rouxiella,ERR1073113
34038.0,397864,genus,0.0033493,Barnesiella,ERR1073113
34038.0,1017280,genus,0.0033493,Pseudoflavonifractor,ERR1073113
34038.0,41273,genus,0.0033493,Tissierella,ERR1073113
34038.0,528,genus,0.0033493,Ochrobactrum,ERR1073113
,-1,genus,77.5865,Unknown,ERR1073113
34038.0,816,genus,17.0077,Bacteroides,ERR1073113
34038.0,216851,genus,1.12201,Faecalibacterium,ERR1073113
34038.0,1730,genus,0.57273,Eubacterium,ERR1073113
34038.0,459786,genus,0.47895,Oscillibacter,ERR1073113
34038.0,239759,genus,0.391868,Alistipes,ERR1073113
34038.0,572511,genus,0.358375,Blautia,ERR1073113
34038.0,1508657,genus,0.328231,Ruminiclostridium,ERR1073113
34038.0,1386,genus,0.301437,Bacillus,ERR1073113
34038.0,1506553,genus,0.271293,Lachnoclostridium,ERR1073113
34038.0,1263,genus,0.247848,Ruminococcus,ERR1073113
34038.0,39948,genus,0.217704,Dialister,ERR1073113
34038.0,35832,genus,0.117225,Bilophila,ERR1073113
34038.0,841,genus,0.100479,Roseburia,ERR1073113
34038.0,156973,genus,0.0904311,Dysgonomonas,ERR1073113
34038.0,244127,genus,0.0904311,Anaerotruncus,ERR1073113
34038.0,1716,genus,0.0870818,Corynebacterium,ERR1073113
34038.0,29465,genus,0.0770339,Veillonella,ERR1073113
34038.0,561,genus,0.0736846,Escherichia,ERR1073113
34038.0,872,genus,0.0401916,Desulfovibrio,ERR1073113
34038.0,1301,genus,0.0368423,Streptococcus,ERR1073113
34038.0,61170,genus,0.0234451,Holdemania,ERR1073113
34038.0,286,genus,0.0167465,Pseudomonas,ERR1073113
34038.0,1505663,genus,0.0167465,Erysipelatoclostridium,ERR1073113
34038.0,52784,genus,0.0133972,Anaerofilum,ERR1073113
34038.0,84111,genus,0.0100479,Eggerthella,ERR1073113
34038.0,1485,genus,0.0100479,Clostridium,ERR1073113
34038.0,1051,genus,0.0100479,Ectothiorhodospira,ERR1073113
34038.0,59732,genus,0.0100479,Chryseobacterium,ERR1073113
34038.0,1678,genus,0.0100479,Bifidobacterium,ERR1073113
34038.0,836,genus,0.0100479,Porphyromonas,ERR1073113
34038.0,207244,genus,0.0066986,Anaerostipes,ERR1073113
34038.0,375288,genus,0.0066986,Parabacteroides,ERR1073113
34038.0,157920,genus,0.0066986,Cellulosimicrobium,ERR1073113
34038.0,577310,genus,0.0066986,Parasutterella,ERR1073113
34038.0,838,genus,0.0066986,Prevotella,ERR1073113
34038.0,620,genus,0.0066986,Shigella,ERR1073113
34038.0,1578,genus,0.0066986,Lactobacillus,ERR1073113
34038.0,1350,genus,0.0066986,Enterococcus,ERR1073113
34038.0,84565,genus,0.0066986,Sodalis,ERR1073113
34038.0,28231,genus,0.0033493,Geobacter,ERR1073113
34038.0,2742,genus,0.0033493,Marinobacter,ERR1073113
34038.0,44748,genus,0.0033493,Sporobacter,ERR1073113
34038.0,482,genus,0.0033493,Neisseria,ERR1073113
34038.0,44260,genus,0.0033493,Moorella,ERR1073113
34038.0,265980,genus,0.0033493,Alkalimonas,ERR1073113
34038.0,61434,genus,0.0033493,Dehalococcoides,ERR1073113
34038.0,626,genus,0.0033493,Xenorhabdus,ERR1073113
34038.0,44249,genus,0.0033493,Paenibacillus,ERR1073113
34038.0,34098,genus,0.0033493,Blattabacterium,ERR1073113
34038.0,1565532,genus,0.0033493,Rouxiella,ERR1073113
34038.0,397864,genus,0.0033493,Barnesiella,ERR1073113
34038.0,1017280,genus,0.0033493,Pseudoflavonifractor,ERR1073113
34038.0,41273,genus,0.0033493,Tissierella,ERR1073113
34038.0,528,genus,0.0033493,Ochrobactrum,ERR1073113
34038.0,233189,genus,0.0033493,Anaerolinea,ERR1073113
34038.0,698776,genus,0.0033493,Cellulosilyticum,ERR1073113
34038.0,253238,genus,0.0033493,Ethanoligenens,ERR1073113
34038.0,586,genus,0.0033493,Providencia,ERR1073113
34038.0,135575,genus,0.0033493,Idiomarina,ERR1073113
,-1,genus,77.5865,Unknown,ERR1073113
34038.0,816,genus,17.0077,Bacteroides,ERR1073113
34038.0,216851,genus,1.12201,Faecalibacterium,ERR1073113
34038.0,1730,genus,0.57273,Eubacterium,ERR1073113
34038.0,459786,genus,0.47895,Oscillibacter,ERR1073113
34038.0,239759,genus,0.391868,Alistipes,ERR1073113
34038.0,572511,genus,0.358375,Blautia,ERR1073113
34038.0,1508657,genus,0.328231,Ruminiclostridium,ERR1073113
34038.0,1386,genus,0.301437,Bacillus,ERR1073113
34038.0,1506553,genus,0.271293,Lachnoclostridium,ERR1073113
34038.0,1263,genus,0.247848,Ruminococcus,ERR1073113
34038.0,39948,genus,0.217704,Dialister,ERR1073113
34038.0,35832,genus,0.117225,Bilophila,ERR1073113
34038.0,841,genus,0.100479,Roseburia,ERR1073113
34038.0,156973,genus,0.0904311,Dysgonomonas,ERR1073113
34038.0,244127,genus,0.0904311,Anaerotruncus,ERR1073113
34038.0,1716,genus,0.0870818,Corynebacterium,ERR1073113
34038.0,29465,genus,0.0770339,Veillonella,ERR1073113
34038.0,561,genus,0.0736846,Escherichia,ERR1073113
34038.0,872,genus,0.0401916,Desulfovibrio,ERR1073113
34038.0,1301,genus,0.0368423,Streptococcus,ERR1073113
34038.0,61170,genus,0.0234451,Holdemania,ERR1073113
34038.0,286,genus,0.0167465,Pseudomonas,ERR1073113
34038.0,1505663,genus,0.0167465,Erysipelatoclostridium,ERR1073113
34038.0,52784,genus,0.0133972,Anaerofilum,ERR1073113
34038.0,1051,genus,0.0100479,Ectothiorhodospira,ERR1073113
34038.0,59732,genus,0.0100479,Chryseobacterium,ERR1073113
34038.0,1678,genus,0.0100479,Bifidobacterium,ERR1073113
34038.0,836,genus,0.0100479,Porphyromonas,ERR1073113
34038.0,1485,genus,0.0100479,Clostridium,ERR1073113
34038.0,84111,genus,0.0100479,Eggerthella,ERR1073113
34038.0,157920,genus,0.0066986,Cellulosimicrobium,ERR1073113
34038.0,577310,genus,0.0066986,Parasutterella,ERR1073113
34038.0,838,genus,0.0066986,Prevotella,ERR1073113
34038.0,1578,genus,0.0066986,Lactobacillus,ERR1073113
34038.0,620,genus,0.0066986,Shigella,ERR1073113
