ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
821,species,14.7202,Bacteroides vulgatus,ERR1073113
817,species,1.63111,Bacteroides fragilis,ERR1073113
1755626,species,1.12201,Faecalibacterium sp. MC_41,ERR1073113
39485,species,0.522491,[Eubacterium] eligens,ERR1073113
351091,species,0.47895,Oscillibacter valericigenes,ERR1073113
818,species,0.468902,Bacteroides thetaiotaomicron,ERR1073113
40520,species,0.277992,Blautia obeum,ERR1073113
28117,species,0.227752,Alistipes putredinis,ERR1073113
40518,species,0.224403,Ruminococcus bromii,ERR1073113
1515,species,0.224403,Ruminiclostridium thermocellum,ERR1073113
218538,species,0.217704,Dialister invisus,ERR1073113
79880,species,0.19091,Bacillus clausii,ERR1073113
69825,species,0.174164,[Clostridium] indolis,ERR1073113
214856,species,0.133972,Alistipes finegoldii,ERR1073113
35833,species,0.117225,Bilophila wadsworthia,ERR1073113
301301,species,0.100479,Roseburia hominis,ERR1073113
169435,species,0.0904311,Anaerotruncus colihominis,ERR1073113
39484,species,0.0770339,Eubacterium desmolans,ERR1073113
562,species,0.0736846,Escherichia coli,ERR1073113
39778,species,0.0736846,Veillonella dispar,ERR1073113
163665,species,0.0703353,Dysgonomonas mossii,ERR1073113
28116,species,0.066986,Bacteroides ovatus,ERR1073113
1535,species,0.0602874,[Clostridium] leptum,ERR1073113
1408,species,0.0602874,Bacillus pumilus,ERR1073113
1725,species,0.0535888,Corynebacterium xerosis,ERR1073113
536633,species,0.0502395,Blautia glucerasea,ERR1073113
1512,species,0.0435409,[Clostridium] symbiosum,ERR1073113
876,species,0.033493,Desulfovibrio desulfuricans,ERR1073113
28446,species,0.0301437,[Clostridium] propionicum,ERR1073113
328813,species,0.0234451,Alistipes onderdonkii,ERR1073113
1428,species,0.0234451,Bacillus thuringiensis,ERR1073113
84030,species,0.0234451,[Clostridium] saccharolyticum,ERR1073113
191493,species,0.0234451,Corynebacterium sphenisci,ERR1073113
39496,species,0.0234451,Eubacterium ventriosum,ERR1073113
61171,species,0.0234451,Holdemania filiformis,ERR1073113
246787,species,0.0200958,Bacteroides cellulosilyticus,ERR1073113
204516,species,0.0200958,Bacteroides massiliensis,ERR1073113
1308,species,0.0200958,Streptococcus thermophilus,ERR1073113
84032,species,0.0200958,[Clostridium] thermosuccinogenes,ERR1073113
39490,species,0.0200958,Eubacterium ramulus,ERR1073113
288965,species,0.0200958,[Clostridium] clariflavum,ERR1073113
290588,species,0.0200958,Bacillus oshimensis,ERR1073113
156974,species,0.0200958,Dysgonomonas gadei,ERR1073113
1264,species,0.0167465,Ruminococcus albus,ERR1073113
1547,species,0.0167465,Erysipelatoclostridium ramosum,ERR1073113
36847,species,0.0167465,[Clostridium] neopropionicum,ERR1073113
820,species,0.0167465,Bacteroides uniformis,ERR1073113
33035,species,0.0133972,Blautia producta,ERR1073113
329854,species,0.0133972,Bacteroides intestinalis,ERR1073113
371601,species,0.0133972,Bacteroides xylanisolvens,ERR1073113
33038,species,0.0133972,[Ruminococcus] gnavus,ERR1073113
52787,species,0.0133972,Anaerofilum pentosovorans,ERR1073113
29375,species,0.0133972,[Clostridium] xylanolyticum,ERR1073113
357276,species,0.0133972,Bacteroides dorei,ERR1073113
84112,species,0.0100479,Eggerthella lenta,ERR1073113
287,species,0.0100479,Pseudomonas aeruginosa,ERR1073113
1054,species,0.0100479,Ectothiorhodospira shaposhnikovii,ERR1073113
36874,species,0.0100479,Porphyromonas cangingivalis,ERR1073113
1519,species,0.0100479,Clostridium tyrobutyricum,ERR1073113
63612,species,0.0066986,Sodalis glossinidius,ERR1073113
