ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
239935,species,18.2631,Akkermansia muciniphila,ERR1073318
823,species,2.2363,Parabacteroides distasonis,ERR1073318
1512,species,2.17418,[Clostridium] symbiosum,ERR1073318
817,species,1.82631,Bacteroides fragilis,ERR1073318
28116,species,0.606286,Bacteroides ovatus,ERR1073318
69825,species,0.556591,[Clostridium] indolis,ERR1073318
818,species,0.501926,Bacteroides thetaiotaomicron,ERR1073318
46506,species,0.501926,Bacteroides stercoris,ERR1073318
208479,species,0.484532,[Clostridium] bolteae,ERR1073318
291645,species,0.283265,Bacteroides nordii,ERR1073318
35833,species,0.213691,Bilophila wadsworthia,ERR1073318
861,species,0.191328,Fusobacterium ulcerans,ERR1073318
358742,species,0.181389,[Clostridium] aldenense,ERR1073318
187327,species,0.159026,Acidaminococcus intestini,ERR1073318
29348,species,0.139148,[Clostridium] spiroforme,ERR1073318
29370,species,0.136663,[Clostridium] sphenoides,ERR1073318
820,species,0.116785,Bacteroides uniformis,ERR1073318
562,species,0.0993912,Escherichia coli,ERR1073318
29354,species,0.0745434,[Clostridium] celerecrescens,ERR1073318
876,species,0.0695739,Desulfovibrio desulfuricans,ERR1073318
39778,species,0.0695739,Veillonella dispar,ERR1073318
47678,species,0.0646043,Bacteroides caccae,ERR1073318
29466,species,0.05715,Veillonella parvula,ERR1073318
84030,species,0.0546652,[Clostridium] saccharolyticum,ERR1073318
387661,species,0.0521804,Parabacteroides johnsonii,ERR1073318
39484,species,0.0472108,Eubacterium desmolans,ERR1073318
1755626,species,0.0372717,Faecalibacterium sp. MC_41,ERR1073318
1308,species,0.0372717,Streptococcus thermophilus,ERR1073318
28026,species,0.0323021,Bifidobacterium pseudocatenulatum,ERR1073318
821,species,0.0323021,Bacteroides vulgatus,ERR1073318
28446,species,0.022363,[Clostridium] propionicum,ERR1073318
165179,species,0.0198782,Prevotella copri,ERR1073318
28111,species,0.0173935,Bacteroides eggerthii,ERR1073318
