loaded_uid,ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
34037.0,816,genus,15.9051,Bacteroides,ERR1072787
34037.0,239934,genus,6.80662,Akkermansia,ERR1072787
34037.0,216851,genus,3.9336,Faecalibacterium,ERR1072787
34037.0,1637257,genus,2.79311,Mageeibacillus,ERR1072787
34037.0,1263,genus,2.27372,Ruminococcus,ERR1072787
34037.0,375288,genus,2.2156,Parabacteroides,ERR1072787
34037.0,239759,genus,1.48191,Alistipes,ERR1072787
34037.0,1506553,genus,1.03879,Lachnoclostridium,ERR1072787
34037.0,1508657,genus,0.744588,Ruminiclostridium,ERR1072787
34037.0,459786,genus,0.73006,Oscillibacter,ERR1072787
34037.0,990721,genus,0.715531,Christensenella,ERR1072787
34037.0,397864,genus,0.486706,Barnesiella,ERR1072787
34037.0,44748,genus,0.435856,Sporobacter,ERR1072787
34037.0,244127,genus,0.352317,Anaerotruncus,ERR1072787
34037.0,904,genus,0.330524,Acidaminococcus,ERR1072787
34037.0,1505663,genus,0.27241,Erysipelatoclostridium,ERR1072787
34037.0,1386,genus,0.246985,Bacillus,ERR1072787
34037.0,283168,genus,0.232457,Odoribacter,ERR1072787
34037.0,1301,genus,0.210664,Streptococcus,ERR1072787
34037.0,572511,genus,0.196135,Blautia,ERR1072787
34037.0,286,genus,0.17071,Pseudomonas,ERR1072787
34037.0,872,genus,0.145285,Desulfovibrio,ERR1072787
34037.0,590,genus,0.0726427,Salmonella,ERR1072787
34037.0,841,genus,0.0690106,Roseburia,ERR1072787
34037.0,1663,genus,0.0653785,Arthrobacter,ERR1072787
34037.0,1730,genus,0.0653785,Eubacterium,ERR1072787
34037.0,1485,genus,0.0653785,Clostridium,ERR1072787
34037.0,1506577,genus,0.0544821,Tyzzerella,ERR1072787
34037.0,561,genus,0.0508499,Escherichia,ERR1072787
34037.0,52784,genus,0.0472178,Anaerofilum,ERR1072787
34037.0,838,genus,0.0435856,Prevotella,ERR1072787
34037.0,1769729,genus,0.0399535,Hathewaya,ERR1072787
34037.0,1578,genus,0.0399535,Lactobacillus,ERR1072787
34037.0,100883,genus,0.0399535,Coprobacillus,ERR1072787
34037.0,36853,genus,0.0326892,Desulfitobacterium,ERR1072787
34037.0,44261,genus,0.0326892,Oxobacter,ERR1072787
34037.0,83660,genus,0.025425,Desulfonispora,ERR1072787
34037.0,420345,genus,0.0217928,Lactonifactor,ERR1072787
34037.0,207244,genus,0.0217928,Anaerostipes,ERR1072787
34037.0,1350,genus,0.0217928,Enterococcus,ERR1072787
34037.0,1080709,genus,0.0181607,Methanomassiliicoccus,ERR1072787
34037.0,644652,genus,0.0145285,Gordonibacter,ERR1072787
34037.0,84111,genus,0.0145285,Eggerthella,ERR1072787
34037.0,270497,genus,0.0145285,Catabacter,ERR1072787
34037.0,264995,genus,0.0145285,Anaerofustis,ERR1072787
34037.0,61170,genus,0.0145285,Holdemania,ERR1072787
34037.0,117563,genus,0.0145285,Granulicatella,ERR1072787
34037.0,442430,genus,0.0145285,Coraliomargarita,ERR1072787
34037.0,1017280,genus,0.0145285,Pseudoflavonifractor,ERR1072787
34037.0,34037,genus,0.0108964,Rahnella,ERR1072787
34037.0,469,genus,0.0108964,Acinetobacter,ERR1072787
34037.0,2735,genus,0.0108964,Verrucomicrobium,ERR1072787
34037.0,1562,genus,0.0108964,Desulfotomaculum,ERR1072787
34037.0,1678,genus,0.00726427,Bifidobacterium,ERR1072787
34037.0,332248,genus,0.00726427,Truepera,ERR1072787
34037.0,44249,genus,0.00726427,Paenibacillus,ERR1072787
34037.0,51228,genus,0.00726427,Wigglesworthia,ERR1072787
