ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
239935,species,6.80662,Akkermansia muciniphila,ERR1072787
821,species,5.82232,Bacteroides vulgatus,ERR1072787
1755626,species,3.9336,Faecalibacterium sp. MC_41,ERR1072787
818,species,3.25439,Bacteroides thetaiotaomicron,ERR1072787
884684,species,2.79311,Mageeibacillus indolicus,ERR1072787
820,species,2.69505,Bacteroides uniformis,ERR1072787
1265,species,1.51097,Ruminococcus flavefaciens,ERR1072787
46506,species,1.49281,Bacteroides stercoris,ERR1072787
46503,species,1.4129,Parabacteroides merdae,ERR1072787
817,species,1.34389,Bacteroides fragilis,ERR1072787
28117,species,1.13323,Alistipes putredinis,ERR1072787
28116,species,0.802702,Bacteroides ovatus,ERR1072787
823,species,0.780909,Parabacteroides distasonis,ERR1072787
351091,species,0.73006,Oscillibacter valericigenes,ERR1072787
626937,species,0.715531,Christensenella minuta,ERR1072787
1264,species,0.671945,Ruminococcus albus,ERR1072787
1515,species,0.555717,Ruminiclostridium thermocellum,ERR1072787
102134,species,0.537556,Desulfotomaculum gibsoniae,ERR1072787
29370,species,0.52666,[Clostridium] sphenoides,ERR1072787
397865,species,0.486706,Barnesiella viscericola,ERR1072787
44749,species,0.435856,Sporobacter termitidis,ERR1072787
169435,species,0.352317,Anaerotruncus colihominis,ERR1072787
187327,species,0.330524,Acidaminococcus intestini,ERR1072787
28118,species,0.232457,Odoribacter splanchnicus,ERR1072787
328813,species,0.22156,Alistipes onderdonkii,ERR1072787
69825,species,0.196135,[Clostridium] indolis,ERR1072787
1308,species,0.181607,Streptococcus thermophilus,ERR1072787
36847,species,0.134389,[Clostridium] neopropionicum,ERR1072787
105229,species,0.130757,Bacillus fumarioli,ERR1072787
28111,species,0.130757,Bacteroides eggerthii,ERR1072787
881,species,0.123493,Desulfovibrio vulgaris,ERR1072787
1535,species,0.123493,[Clostridium] leptum,ERR1072787
84030,species,0.116228,[Clostridium] saccharolyticum,ERR1072787
246787,species,0.108964,Bacteroides cellulosilyticus,ERR1072787
28446,species,0.1017,[Clostridium] propionicum,ERR1072787
