ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
821,species,5.35946,Bacteroides vulgatus,ERR1073128
204516,species,3.13616,Bacteroides massiliensis,ERR1073128
820,species,2.21519,Bacteroides uniformis,ERR1073128
39492,species,2.1381,[Eubacterium] siraeum,ERR1073128
28111,species,1.76891,Bacteroides eggerthii,ERR1073128
1755626,species,1.57416,Faecalibacterium sp. MC_41,ERR1073128
397865,species,1.54576,Barnesiella viscericola,ERR1073128
169435,species,1.19279,Anaerotruncus colihominis,ERR1073128
1515,species,1.17657,Ruminiclostridium thermocellum,ERR1073128
1264,species,0.83171,Ruminococcus albus,ERR1073128
28117,species,0.787082,Alistipes putredinis,ERR1073128
626937,species,0.734339,Christensenella minuta,ERR1073128
239935,species,0.701882,Akkermansia muciniphila,ERR1073128
29348,species,0.681597,[Clostridium] spiroforme,ERR1073128
351091,species,0.616683,Oscillibacter valericigenes,ERR1073128
536633,species,0.555826,Blautia glucerasea,ERR1073128
28118,species,0.543655,Odoribacter splanchnicus,ERR1073128
246787,species,0.543655,Bacteroides cellulosilyticus,ERR1073128
40520,species,0.527426,Blautia obeum,ERR1073128
214856,species,0.511198,Alistipes finegoldii,ERR1073128
901,species,0.470626,Desulfovibrio piger,ERR1073128
44749,species,0.417884,Sporobacter termitidis,ERR1073128
818,species,0.401655,Bacteroides thetaiotaomicron,ERR1073128
33043,species,0.401655,Coprococcus eutactus,ERR1073128
487175,species,0.377313,Parasutterella excrementihominis,ERR1073128
187327,species,0.373255,Acidaminococcus intestini,ERR1073128
823,species,0.369198,Parabacteroides distasonis,ERR1073128
626930,species,0.340798,Bacteroides fluxus,ERR1073128
454154,species,0.328627,Paraprevotella clara,ERR1073128
1265,species,0.320513,Ruminococcus flavefaciens,ERR1073128
291644,species,0.308341,Bacteroides salyersiae,ERR1073128
47678,species,0.29617,Bacteroides caccae,ERR1073128
48296,species,0.259656,Acinetobacter pittii,ERR1073128
1510,species,0.227199,[Clostridium] stercorarium,ERR1073128
46503,species,0.182571,Parabacteroides merdae,ERR1073128
626933,species,0.182571,Odoribacter laneus,ERR1073128
328812,species,0.174456,Parabacteroides goldsteinii,ERR1073128
1661050,species,0.166342,Pseudomonas sp. NBRC 111135,ERR1073128
1535,species,0.162285,[Clostridium] leptum,ERR1073128
1161942,species,0.162285,Ruminococcus champanellensis,ERR1073128
40518,species,0.154171,Ruminococcus bromii,ERR1073128
28116,species,0.154171,Bacteroides ovatus,ERR1073128
69825,species,0.141999,[Clostridium] indolis,ERR1073128
1521,species,0.129828,[Clostridium] cellulolyticum,ERR1073128
288965,species,0.125771,[Clostridium] clariflavum,ERR1073128
328814,species,0.125771,Alistipes shahii,ERR1073128
84032,species,0.117657,[Clostridium] thermosuccinogenes,ERR1073128
39486,species,0.113599,Dorea formicigenerans,ERR1073128
1512,species,0.109542,[Clostridium] symbiosum,ERR1073128
39485,species,0.097371,[Eubacterium] eligens,ERR1073128
626932,species,0.097371,Alistipes indistinctus,ERR1073128
53408,species,0.0933139,Pseudomonas citronellolis,ERR1073128
301301,species,0.0851996,Roseburia hominis,ERR1073128
84030,species,0.0811425,[Clostridium] saccharolyticum,ERR1073128
40324,species,0.0811425,Stenotrophomonas maltophilia,ERR1073128
1121298,species,0.0811425,Clostridium amylolyticum,ERR1073128
80866,species,0.0770854,Delftia acidovorans,ERR1073128
1267,species,0.0730282,Clostridium ventriculi,ERR1073128
39496,species,0.0689711,Eubacterium ventriosum,ERR1073128
2173,species,0.0689711,Methanobrevibacter smithii,ERR1073128
39484,species,0.0689711,Eubacterium desmolans,ERR1073128
410072,species,0.0608569,Coprococcus comes,ERR1073128
