ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
165179,species,34.3211,Prevotella copri,ERR1072832
821,species,11.9747,Bacteroides vulgatus,ERR1072832
820,species,6.49434,Bacteroides uniformis,ERR1072832
1755626,species,6.46935,Faecalibacterium sp. MC_41,ERR1072832
28117,species,5.42326,Alistipes putredinis,ERR1072832
47678,species,2.55989,Bacteroides caccae,ERR1072832
28116,species,2.51705,Bacteroides ovatus,ERR1072832
397865,species,2.44921,Barnesiella viscericola,ERR1072832
454154,species,2.14574,Paraprevotella clara,ERR1072832
46503,species,2.14574,Parabacteroides merdae,ERR1072832
239935,species,2.01364,Akkermansia muciniphila,ERR1072832
69825,species,1.83155,[Clostridium] indolis,ERR1072832
823,species,1.17462,Parabacteroides distasonis,ERR1072832
351091,species,1.1532,Oscillibacter valericigenes,ERR1072832
536633,species,1.07822,Blautia glucerasea,ERR1072832
46506,species,1.04966,Bacteroides stercoris,ERR1072832
35833,species,0.667643,Bilophila wadsworthia,ERR1072832
818,species,0.642651,Bacteroides thetaiotaomicron,ERR1072832
214856,species,0.603377,Alistipes finegoldii,ERR1072832
28446,species,0.596237,[Clostridium] propionicum,ERR1072832
291644,species,0.517691,Bacteroides salyersiae,ERR1072832
328814,species,0.456996,Alistipes shahii,ERR1072832
328813,species,0.439145,Alistipes onderdonkii,ERR1072832
1512,species,0.389161,[Clostridium] symbiosum,ERR1072832
39496,species,0.25706,Eubacterium ventriosum,ERR1072832
626930,species,0.242779,Bacteroides fluxus,ERR1072832
1265,species,0.232068,Ruminococcus flavefaciens,ERR1072832
626932,species,0.228498,Alistipes indistinctus,ERR1072832
40520,species,0.224928,Blautia obeum,ERR1072832
84030,species,0.199936,[Clostridium] saccharolyticum,ERR1072832
1465754,species,0.199936,Alistipes timonensis,ERR1072832
387661,species,0.199936,Parabacteroides johnsonii,ERR1072832
29375,species,0.182084,[Clostridium] xylanolyticum,ERR1072832
169435,species,0.167803,Anaerotruncus colihominis,ERR1072832
589436,species,0.157092,Prevotella fusca,ERR1072832
28118,species,0.157092,Odoribacter splanchnicus,ERR1072832
187327,species,0.135671,Acidaminococcus intestini,ERR1072832
36847,species,0.135671,[Clostridium] neopropionicum,ERR1072832
881,species,0.12496,Desulfovibrio vulgaris,ERR1072832
839,species,0.117819,Prevotella ruminicola,ERR1072832
143393,species,0.114249,[Eubacterium] sulci,ERR1072832
28129,species,0.0856867,Prevotella denticola,ERR1072832
410072,species,0.0785462,Coprococcus comes,ERR1072832
357276,species,0.0749759,Bacteroides dorei,ERR1072832
208479,species,0.0714056,[Clostridium] bolteae,ERR1072832
1535,species,0.0678353,[Clostridium] leptum,ERR1072832
28135,species,0.0678353,Prevotella oris,ERR1072832
28026,species,0.0642651,Bifidobacterium pseudocatenulatum,ERR1072832
