ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
821,species,9.34113,Bacteroides vulgatus,ERR1072724
46506,species,3.19696,Bacteroides stercoris,ERR1072724
820,species,2.12298,Bacteroides uniformis,ERR1072724
376804,species,2.05804,Bacteroides barnesiae,ERR1072724
28117,species,1.28878,Alistipes putredinis,ERR1072724
204516,species,1.27379,Bacteroides massiliensis,ERR1072724
454154,species,1.1589,Paraprevotella clara,ERR1072724
28116,species,1.09396,Bacteroides ovatus,ERR1072724
818,species,0.724312,Bacteroides thetaiotaomicron,ERR1072724
310297,species,0.57945,Bacteroides plebeius,ERR1072724
1755626,species,0.549478,Faecalibacterium sp. MC_41,ERR1072724
39492,species,0.394625,[Eubacterium] siraeum,ERR1072724
214856,species,0.374644,Alistipes finegoldii,ERR1072724
46503,species,0.369649,Parabacteroides merdae,ERR1072724
328814,species,0.244767,Alistipes shahii,ERR1072724
397865,species,0.219791,Barnesiella viscericola,ERR1072724
47678,species,0.134872,Bacteroides caccae,ERR1072724
351091,species,0.134872,Oscillibacter valericigenes,ERR1072724
28901,species,0.129877,Salmonella enterica,ERR1072724
28118,species,0.109896,Odoribacter splanchnicus,ERR1072724
729,species,0.1049,Haemophilus parainfluenzae,ERR1072724
44749,species,0.0999051,Sporobacter termitidis,ERR1072724
291645,species,0.0899146,Bacteroides nordii,ERR1072724
40520,species,0.0849193,Blautia obeum,ERR1072724
69825,species,0.0849193,[Clostridium] indolis,ERR1072724
246787,species,0.0799241,Bacteroides cellulosilyticus,ERR1072724
261299,species,0.0749288,Intestinibacter bartlettii,ERR1072724
371601,species,0.0749288,Bacteroides xylanisolvens,ERR1072724
169435,species,0.0749288,Anaerotruncus colihominis,ERR1072724
39484,species,0.0749288,Eubacterium desmolans,ERR1072724
39497,species,0.0699336,Eubacterium xylanophilum,ERR1072724
574375,species,0.0699336,Bacillus gaemokensis,ERR1072724
882211,species,0.0699336,Pseudomonas deceptionensis,ERR1072724
901,species,0.0649383,Desulfovibrio piger,ERR1072724
536633,species,0.0549478,Blautia glucerasea,ERR1072724
40518,species,0.0549478,Ruminococcus bromii,ERR1072724
122355,species,0.0499525,Pseudomonas psychrophila,ERR1072724
1515,species,0.0499525,Ruminiclostridium thermocellum,ERR1072724
28026,species,0.0499525,Bifidobacterium pseudocatenulatum,ERR1072724
39496,species,0.0449573,Eubacterium ventriosum,ERR1072724
239935,species,0.0449573,Akkermansia muciniphila,ERR1072724
310298,species,0.039962,Bacteroides coprocola,ERR1072724
