loaded_uid,ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
34043.0,816,genus,17.8698,Bacteroides,ERR1074062
34043.0,216851,genus,12.875,Faecalibacterium,ERR1074062
34043.0,1730,genus,2.36458,Eubacterium,ERR1074062
34043.0,375288,genus,1.48438,Parabacteroides,ERR1074062
34043.0,841,genus,1.10417,Roseburia,ERR1074062
34043.0,572511,genus,0.817708,Blautia,ERR1074062
34043.0,1678,genus,0.817708,Bifidobacterium,ERR1074062
34043.0,459786,genus,0.520833,Oscillibacter,ERR1074062
34043.0,1505663,genus,0.317708,Erysipelatoclostridium,ERR1074062
34043.0,1506553,genus,0.203125,Lachnoclostridium,ERR1074062
34043.0,1263,genus,0.166667,Ruminococcus,ERR1074062
34043.0,397864,genus,0.15625,Barnesiella,ERR1074062
34043.0,1508657,genus,0.151042,Ruminiclostridium,ERR1074062
34043.0,39948,genus,0.145833,Dialister,ERR1074062
34043.0,1716,genus,0.135417,Corynebacterium,ERR1074062
34043.0,1386,genus,0.109375,Bacillus,ERR1074062
34043.0,189330,genus,0.0989583,Dorea,ERR1074062
34043.0,590,genus,0.0833333,Salmonella,ERR1074062
34043.0,561,genus,0.0729167,Escherichia,ERR1074062
34043.0,35832,genus,0.0677083,Bilophila,ERR1074062
34043.0,244127,genus,0.0520833,Anaerotruncus,ERR1074062
34043.0,724,genus,0.0520833,Haemophilus,ERR1074062
34043.0,1301,genus,0.046875,Streptococcus,ERR1074062
34043.0,1505657,genus,0.0364583,Intestinibacter,ERR1074062
34043.0,528,genus,0.0364583,Ochrobactrum,ERR1074062
34043.0,1485,genus,0.0260417,Clostridium,ERR1074062
34043.0,61170,genus,0.0260417,Holdemania,ERR1074062
34043.0,872,genus,0.0208333,Desulfovibrio,ERR1074062
34043.0,286,genus,0.0208333,Pseudomonas,ERR1074062
34043.0,1051,genus,0.0208333,Ectothiorhodospira,ERR1074062
34043.0,52784,genus,0.0208333,Anaerofilum,ERR1074062
34043.0,1350,genus,0.0208333,Enterococcus,ERR1074062
34043.0,34037,genus,0.015625,Rahnella,ERR1074062
34043.0,420345,genus,0.015625,Lactonifactor,ERR1074062
34043.0,84111,genus,0.015625,Eggerthella,ERR1074062
34043.0,29465,genus,0.015625,Veillonella,ERR1074062
34043.0,469,genus,0.0104167,Acinetobacter,ERR1074062
34043.0,838,genus,0.0104167,Prevotella,ERR1074062
34043.0,648800,genus,0.0104167,Solibacillus,ERR1074062
34043.0,346096,genus,0.0104167,Paludibacter,ERR1074062
34043.0,445,genus,0.0104167,Legionella,ERR1074062
34043.0,32207,genus,0.00520833,Rothia,ERR1074062
34043.0,28453,genus,0.00520833,Sphingobacterium,ERR1074062
34043.0,551759,genus,0.00520833,Aromatoleum,ERR1074062
34043.0,106633,genus,0.00520833,Thioalkalivibrio,ERR1074062
34043.0,482,genus,0.00520833,Neisseria,ERR1074062
34043.0,234,genus,0.00520833,Brucella,ERR1074062
34043.0,150022,genus,0.00520833,Finegoldia,ERR1074062
34043.0,40323,genus,0.00520833,Stenotrophomonas,ERR1074062
34043.0,40544,genus,0.00520833,Sutterella,ERR1074062
34043.0,239759,genus,0.00520833,Alistipes,ERR1074062
34043.0,28231,genus,0.00520833,Geobacter,ERR1074062
34043.0,207244,genus,0.00520833,Anaerostipes,ERR1074062
