ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
882211,species,15.6754,Pseudomonas deceptionensis,ERR1073712
122355,species,14.6009,Pseudomonas psychrophila,ERR1073712
820,species,3.09382,Bacteroides uniformis,ERR1073712
28117,species,2.8444,Alistipes putredinis,ERR1073712
204516,species,2.77724,Bacteroides massiliensis,ERR1073712
40324,species,2.1297,Stenotrophomonas maltophilia,ERR1073712
1515,species,2.07694,Ruminiclostridium thermocellum,ERR1073712
28116,species,1.93784,Bacteroides ovatus,ERR1073712
1755626,species,1.67402,Faecalibacterium sp. MC_41,ERR1073712
39485,species,1.5685,[Eubacterium] eligens,ERR1073712
328813,species,0.935342,Alistipes onderdonkii,ERR1073712
214856,species,0.786646,Alistipes finegoldii,ERR1073712
294,species,0.75307,Pseudomonas fluorescens,ERR1073712
33069,species,0.460476,Pseudomonas viridiflava,ERR1073712
317,species,0.436493,Pseudomonas syringae,ERR1073712
40520,species,0.321374,Blautia obeum,ERR1073712
47884,species,0.306984,Pseudomonas taetrolens,ERR1073712
529,species,0.278204,Ochrobactrum anthropi,ERR1073712
84032,species,0.254221,[Clostridium] thermosuccinogenes,ERR1073712
48296,species,0.220645,Acinetobacter pittii,ERR1073712
536633,species,0.206255,Blautia glucerasea,ERR1073712
351091,species,0.196662,Oscillibacter valericigenes,ERR1073712
821,species,0.177475,Bacteroides vulgatus,ERR1073712
29348,species,0.172678,[Clostridium] spiroforme,ERR1073712
243924,species,0.158289,Pseudomonas lutea,ERR1073712
28118,species,0.134305,Odoribacter splanchnicus,ERR1073712
818,species,0.110322,Bacteroides thetaiotaomicron,ERR1073712
357276,species,0.100729,Bacteroides dorei,ERR1073712
301301,species,0.0911358,Roseburia hominis,ERR1073712
191295,species,0.0815426,Alcaligenes sp. VKM B-2263,ERR1073712
239935,species,0.0815426,Akkermansia muciniphila,ERR1073712
1746653,species,0.0719493,Cellulosimicrobium sp. HBUM179776,ERR1073712
645466,species,0.0671527,Anaerostipes butyraticus,ERR1073712
39492,species,0.0671527,[Eubacterium] siraeum,ERR1073712
1710,species,0.0623561,Cellulosimicrobium cellulans,ERR1073712
1308,species,0.0623561,Streptococcus thermophilus,ERR1073712
303,species,0.0527629,Pseudomonas putida,ERR1073712
