ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
1755626,species,13.2737,Faecalibacterium sp. MC_41,ERR1075057
301301,species,6.43462,Roseburia hominis,ERR1075057
328813,species,5.86016,Alistipes onderdonkii,ERR1075057
28111,species,5.25511,Bacteroides eggerthii,ERR1075057
820,species,4.83021,Bacteroides uniformis,ERR1075057
239935,species,4.08579,Akkermansia muciniphila,ERR1075057
218538,species,3.86485,Dialister invisus,ERR1075057
46503,species,3.72548,Parabacteroides merdae,ERR1075057
1264,species,3.05245,Ruminococcus albus,ERR1075057
28116,species,2.67514,Bacteroides ovatus,ERR1075057
46506,species,2.0293,Bacteroides stercoris,ERR1075057
39485,species,1.49903,[Eubacterium] eligens,ERR1075057
69825,species,1.13872,[Clostridium] indolis,ERR1075057
40520,species,1.08093,Blautia obeum,ERR1075057
28117,species,0.989157,Alistipes putredinis,ERR1075057
84030,species,0.965363,[Clostridium] saccharolyticum,ERR1075057
1161942,species,0.914375,Ruminococcus champanellensis,ERR1075057
818,species,0.846392,Bacteroides thetaiotaomicron,ERR1075057
39497,species,0.683232,Eubacterium xylanophilum,ERR1075057
536633,species,0.679833,Blautia glucerasea,ERR1075057
821,species,0.598253,Bacteroides vulgatus,ERR1075057
246787,species,0.557463,Bacteroides cellulosilyticus,ERR1075057
29348,species,0.520072,[Clostridium] spiroforme,ERR1075057
351091,species,0.458887,Oscillibacter valericigenes,ERR1075057
328814,species,0.441891,Alistipes shahii,ERR1075057
35833,species,0.4045,Bilophila wadsworthia,ERR1075057
1535,species,0.4045,[Clostridium] leptum,ERR1075057
397865,species,0.390904,Barnesiella viscericola,ERR1075057
39496,species,0.387505,Eubacterium ventriosum,ERR1075057
208479,species,0.370509,[Clostridium] bolteae,ERR1075057
39484,species,0.363711,Eubacterium desmolans,ERR1075057
28118,species,0.343316,Odoribacter splanchnicus,ERR1075057
166486,species,0.336517,Roseburia intestinalis,ERR1075057
47678,species,0.299126,Bacteroides caccae,ERR1075057
169435,species,0.271933,Anaerotruncus colihominis,ERR1075057
437898,species,0.265135,Sutterella parvirubra,ERR1075057
395922,species,0.241341,Coraliomargarita akajimensis,ERR1075057
29370,species,0.234542,[Clostridium] sphenoides,ERR1075057
1465754,species,0.234542,Alistipes timonensis,ERR1075057
502558,species,0.214147,Eggerthella sp. YY7918,ERR1075057
1515,species,0.207349,Ruminiclostridium thermocellum,ERR1075057
44749,species,0.200551,Sporobacter termitidis,ERR1075057
33035,species,0.180156,Blautia producta,ERR1075057
626932,species,0.176757,Alistipes indistinctus,ERR1075057
626930,species,0.169958,Bacteroides fluxus,ERR1075057
823,species,0.152962,Parabacteroides distasonis,ERR1075057
84032,species,0.142765,[Clostridium] thermosuccinogenes,ERR1075057
1755629,species,0.125769,Victivallis sp. MC_44,ERR1075057
1532,species,0.101975,Blautia coccoides,ERR1075057
36847,species,0.0985757,[Clostridium] neopropionicum,ERR1075057
626931,species,0.0849791,Bacteroides oleiciplenus,ERR1075057
46228,species,0.0849791,Ruminococcus lactaris,ERR1075057
29375,species,0.0781808,[Clostridium] xylanolyticum,ERR1075057
61171,species,0.0781808,Holdemania filiformis,ERR1075057
39490,species,0.0781808,Eubacterium ramulus,ERR1075057
204516,species,0.0747816,Bacteroides massiliensis,ERR1075057
357276,species,0.0713824,Bacteroides dorei,ERR1075057
39486,species,0.0713824,Dorea formicigenerans,ERR1075057
328812,species,0.0713824,Parabacteroides goldsteinii,ERR1075057
1358,species,0.0679833,Lactococcus lactis,ERR1075057
40518,species,0.0679833,Ruminococcus bromii,ERR1075057
28446,species,0.0679833,[Clostridium] propionicum,ERR1075057
329854,species,0.0577858,Bacteroides intestinalis,ERR1075057
288965,species,0.0577858,[Clostridium] clariflavum,ERR1075057
143393,species,0.0509875,[Eubacterium] sulci,ERR1075057
84022,species,0.0475883,Clostridium aceticum,ERR1075057
1512,species,0.0475883,[Clostridium] symbiosum,ERR1075057
371601,species,0.0475883,Bacteroides xylanisolvens,ERR1075057
847,species,0.0441891,Oxalobacter formigenes,ERR1075057
645466,species,0.04079,Anaerostipes butyraticus,ERR1075057
261299,species,0.04079,Intestinibacter bartlettii,ERR1075057
115979,species,0.04079,Bacillus nealsonii,ERR1075057
1265,species,0.0373908,Ruminococcus flavefaciens,ERR1075057
871324,species,0.0373908,Bacteroides stercorirosoris,ERR1075057
105841,species,0.0373908,Anaerostipes caccae,ERR1075057
358742,species,0.0339916,[Clostridium] aldenense,ERR1075057
39491,species,0.0339916,[Eubacterium] rectale,ERR1075057
35517,species,0.0305925,[Eubacterium] brachy,ERR1075057
33043,species,0.0305925,Coprococcus eutactus,ERR1075057
29354,species,0.0271933,[Clostridium] celerecrescens,ERR1075057
341225,species,0.0271933,[Clostridium] saccharogumia,ERR1075057
650643,species,0.0271933,Alistipes sp. RMA 9912,ERR1075057
165179,species,0.0237941,Prevotella copri,ERR1075057
1671366,species,0.0237941,Ruminococcus sp. DSM 100440,ERR1075057
2173,species,0.0237941,Methanobrevibacter smithii,ERR1075057
35785,species,0.020395,Clostridium maximum,ERR1075057
29355,species,0.020395,[Clostridium] cellobioparum,ERR1075057
270498,species,0.020395,Catabacter hongkongensis,ERR1075057
