loaded_uid,ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
47080.0,816,genus,24.3108,Bacteroides,ERR1072811
47080.0,216851,genus,21.1579,Faecalibacterium,ERR1072811
47080.0,1678,genus,8.53634,Bifidobacterium,ERR1072811
47080.0,1263,genus,6.7619,Ruminococcus,ERR1072811
47080.0,239759,genus,6.17544,Alistipes,ERR1072811
47080.0,572511,genus,2.5213,Blautia,ERR1072811
47080.0,397864,genus,2.42607,Barnesiella,ERR1072811
47080.0,1508657,genus,2.27569,Ruminiclostridium,ERR1072811
47080.0,904,genus,1.90977,Acidaminococcus,ERR1072811
47080.0,1730,genus,1.5589,Eubacterium,ERR1072811
47080.0,459786,genus,1.33333,Oscillibacter,ERR1072811
47080.0,375288,genus,1.32331,Parabacteroides,ERR1072811
47080.0,1506553,genus,1.28822,Lachnoclostridium,ERR1072811
47080.0,1505663,genus,0.496241,Erysipelatoclostridium,ERR1072811
47080.0,841,genus,0.481203,Roseburia,ERR1072811
47080.0,44748,genus,0.35589,Sporobacter,ERR1072811
47080.0,283168,genus,0.320802,Odoribacter,ERR1072811
47080.0,189330,genus,0.285714,Dorea,ERR1072811
47080.0,40544,genus,0.225564,Sutterella,ERR1072811
47080.0,33042,genus,0.195489,Coprococcus,ERR1072811
47080.0,244127,genus,0.145363,Anaerotruncus,ERR1072811
47080.0,1505657,genus,0.130326,Intestinibacter,ERR1072811
47080.0,577310,genus,0.085213,Parasutterella,ERR1072811
47080.0,52784,genus,0.075188,Anaerofilum,ERR1072811
47080.0,1485,genus,0.0601504,Clostridium,ERR1072811
47080.0,838,genus,0.0451128,Prevotella,ERR1072811
47080.0,28453,genus,0.0451128,Sphingobacterium,ERR1072811
47080.0,1017280,genus,0.0401003,Pseudoflavonifractor,ERR1072811
47080.0,84108,genus,0.0401003,Slackia,ERR1072811
47080.0,1578,genus,0.0401003,Lactobacillus,ERR1072811
47080.0,35832,genus,0.0300752,Bilophila,ERR1072811
47080.0,469,genus,0.0300752,Acinetobacter,ERR1072811
47080.0,39948,genus,0.0300752,Dialister,ERR1072811
47080.0,61170,genus,0.0250627,Holdemania,ERR1072811
47080.0,1386,genus,0.0250627,Bacillus,ERR1072811
47080.0,146813,genus,0.0250627,Dendrosporobacter,ERR1072811
47080.0,270497,genus,0.0250627,Catabacter,ERR1072811
47080.0,172900,genus,0.0200501,Victivallis,ERR1072811
47080.0,1654,genus,0.0200501,Actinomyces,ERR1072811
47080.0,29465,genus,0.0150376,Veillonella,ERR1072811
