ncbi_taxon_id,taxon_rank_level,relative_abundance,scientific_name,run_id
1755626,species,21.1579,Faecalibacterium sp. MC_41,ERR1072811
820,species,7.68922,Bacteroides uniformis,ERR1072811
821,species,6.82707,Bacteroides vulgatus,ERR1072811
1264,species,6.43609,Ruminococcus albus,ERR1072811
28116,species,6.19549,Bacteroides ovatus,ERR1072811
216816,species,2.91729,Bifidobacterium longum,ERR1072811
328813,species,2.71679,Alistipes onderdonkii,ERR1072811
1685,species,2.4812,Bifidobacterium breve,ERR1072811
397865,species,2.42607,Barnesiella viscericola,ERR1072811
1680,species,2.22556,Bifidobacterium adolescentis,ERR1072811
40520,species,1.92982,Blautia obeum,ERR1072811
187327,species,1.90476,Acidaminococcus intestini,ERR1072811
1515,species,1.7594,Ruminiclostridium thermocellum,ERR1072811
28117,species,1.70927,Alistipes putredinis,ERR1072811
351091,species,1.33333,Oscillibacter valericigenes,ERR1072811
823,species,1.2782,Parabacteroides distasonis,ERR1072811
39484,species,0.887218,Eubacterium desmolans,ERR1072811
204516,species,0.857143,Bacteroides massiliensis,ERR1072811
39485,species,0.837093,[Eubacterium] eligens,ERR1072811
818,species,0.827068,Bacteroides thetaiotaomicron,ERR1072811
47678,species,0.621554,Bacteroides caccae,ERR1072811
246787,species,0.611529,Bacteroides cellulosilyticus,ERR1072811
626932,species,0.586466,Alistipes indistinctus,ERR1072811
69825,species,0.541353,[Clostridium] indolis,ERR1072811
39497,species,0.521303,Eubacterium xylanophilum,ERR1072811
762210,species,0.511278,Bifidobacterium saguini,ERR1072811
29348,species,0.491228,[Clostridium] spiroforme,ERR1072811
328814,species,0.466165,Alistipes shahii,ERR1072811
301301,species,0.45614,Roseburia hominis,ERR1072811
536633,species,0.45614,Blautia glucerasea,ERR1072811
84030,species,0.39599,[Clostridium] saccharolyticum,ERR1072811
44749,species,0.35589,Sporobacter termitidis,ERR1072811
1465754,species,0.35589,Alistipes timonensis,ERR1072811
329854,species,0.325815,Bacteroides intestinalis,ERR1072811
